exp	cells	mark	target	unnorm	norm	norm2
VC70A	SCR ctrl	H3K9me3	L1A	0.04205148	1	1
VC70A	SCR vitC	H3K9me3	L1A	0.027147192	0.645570435	0.645570429
VC70A	DKD ctrl	H3K9me3	L1A	0.099593291	2.368365887	1
VC70A	DKD vitC	H3K9me3	L1A	0.078564644	1.868296767	0.788854783
VC70C	SCR ctrl	H3K9me3	L1A	0.092006921	1	1
VC70C	SCR vitC	H3K9me3	L1A	0.026691992	0.290108528	0.290108528
VC70C	DKD ctrl	H3K9me3	L1A	0.039109174	0.425067739	1
VC70C	DKD vitC	H3K9me3	L1A	0.032277498	0.350815975	0.825317811
VC70D	SCR ctrl	H3K9me3	L1A	0.918696665	1	1
VC70D	SCR vitC	H3K9me3	L1A	0.689078632	0.750061101	0.750061101
VC70D	DKD ctrl	H3K9me3	L1A	0.72162371	0.785486371	1
VC70D	DKD vitC	H3K9me3	L1A	0.557512209	0.606851239	0.772580227
VC70E	SCR ctrl	H3K9me3	L1A	0.107729057	1	1
VC70E	SCR vitC	H3K9me3	L1A	0.070781908	0.657036365	0.657036365
VC70E	DKD ctrl	H3K9me3	L1A	0.174401217	1.618887442	1
VC70E	DKD vitC	H3K9me3	L1A	0.097178982	0.902068439	0.557215045
VC70A	SCR ctrl	H3K9me3	L1Gf	0.054366975	1	1
VC70A	SCR vitC	H3K9me3	L1Gf	0.039702512	0.730268908	0.730268918
VC70A	DKD ctrl	H3K9me3	L1Gf	0.162565031	2.990143014	1
VC70A	DKD vitC	H3K9me3	L1Gf	0.123860646	2.278233165	0.761914449
VC70C	SCR ctrl	H3K9me3	L1Gf	0.183479085	1	1
VC70C	SCR vitC	H3K9me3	L1Gf	0.060152628	0.327844605	0.327844605
VC70C	DKD ctrl	H3K9me3	L1Gf	0.078611637	0.428450126	1
VC70C	DKD vitC	H3K9me3	L1Gf	0.082653315	0.450478132	1.051413231
VC70D	SCR ctrl	H3K9me3	L1Gf	2.070192706	1	1
VC70D	SCR vitC	H3K9me3	L1Gf	1.332090126	0.643461897	0.643461897
VC70D	DKD ctrl	H3K9me3	L1Gf	1.286173012	0.621281781	1
VC70D	DKD vitC	H3K9me3	L1Gf	0.946667412	0.457284681	0.736034268
VC70E	SCR ctrl	H3K9me3	L1Gf	0.483488813	1	1
VC70E	SCR vitC	H3K9me3	L1Gf	0.240354807	0.497125891	0.497125891
VC70E	DKD ctrl	H3K9me3	L1Gf	0.564660087	1.16788656	1
VC70E	DKD vitC	H3K9me3	L1Gf	0.359527491	0.743610775	0.6367149
VC70A	SCR ctrl	H3K9me3	L1Tf	0.023477733	1	1
VC70A	SCR vitC	H3K9me3	L1Tf	0.008118259	0.345785453	0.345785473
VC70A	DKD ctrl	H3K9me3	L1Tf	0.076068498	3.240027359	1
VC70A	DKD vitC	H3K9me3	L1Tf	0.047074253	2.005059539	0.618840312
VC70C	SCR ctrl	H3K9me3	L1Tf	0.079824018	1	1
VC70C	SCR vitC	H3K9me3	L1Tf	0.015003043	0.187951487	0.187951487
VC70C	DKD ctrl	H3K9me3	L1Tf	0.038772639	0.485726476	1
VC70C	DKD vitC	H3K9me3	L1Tf	0.03064875	0.383953984	0.790473658
VC70D	SCR ctrl	H3K9me3	L1Tf	1.275340941	1	1
VC70D	SCR vitC	H3K9me3	L1Tf	0.619817609	0.486001499	0.486001499
VC70D	DKD ctrl	H3K9me3	L1Tf	0.838057067	0.657123942	1
VC70D	DKD vitC	H3K9me3	L1Tf	0.546137828	0.428228884	0.651671407
VC70E	SCR ctrl	H3K9me3	L1Tf	0.219597875	1	1
