	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Serpina3m	13.0604132725097	7.1063228101203	1.13867157434146	6.24088891850149	4.35091156653297e-10	1.0930111413926e-07
Akr1c13	13.4808573891011	6.43605214074985	1.10898865941845	5.80353287302765	6.4932015311782e-09	1.2513199882276e-06
Akr1c18	8.95886689117325	5.99231292085389	1.17531208797037	5.09848659108232	3.4237978084877e-07	4.45981366387083e-05
Ube2dnl	8.69323954125026	5.94960052642108	1.1802174636234	5.04110531304557	4.62850648658605e-07	5.91943902302659e-05
Grid2	9.69779503261108	5.04831911040273	1.05065870953402	4.80490863930659	1.5482218465223e-06	0.000167541422591352
Cybb	4.23066771269657	4.82970421732875	1.32252951533285	3.65186875705622	0.000260338931887066	0.0126291313578871
Plb1	2.43071162736632	4.80544789995562	1.52698417584565	3.14701879428079	0.00164944359236984	0.049266183561484
Col6a3	3.82940976971495	4.75775423156851	1.3471170995129	3.53180449813076	0.000412734372353297	0.0182017152045962
C130073F10Rik	41.1996894177393	4.638419871629	0.49159804037123	9.43539129677225	3.89537563484534e-21	3.04445246838913e-18
4930486L24Rik	4.21530809969138	4.18443479962547	1.26889991788485	3.29768702846208	0.000974847272029672	0.0338887498098399
Ldoc1	4.7847417876025	4.1517390396149	1.18622656196755	3.49995453880966	0.000465337510772133	0.0202048398195752
Cd200	6.08911263847809	4.13458612683471	1.06535025017711	3.88096414878331	0.000104043178935478	0.00604826215398474
Gm20548	37.8866192304065	3.76539394748057	0.421052049407155	8.94282299013216	3.7935309759143e-19	2.54130446519821e-16
Folh1	4.87078467418206	3.49564309249834	1.10981830564935	3.1497435883913	0.0016341381650865	0.0490895418536497
Cyp2b23	58.7029129315343	3.13757951921939	0.311046602655299	10.0871685864271	6.29593543761083e-24	6.32651569545066e-21
1700024B05Rik	6.87535554935669	2.99975362353088	0.844332163581783	3.55281221410005	0.000381136435961913	0.0171853441702314
AI662270	15.2513821212778	2.86505017954575	0.607236899440157	4.71817536481592	2.37969326810853e-06	0.000242590760114136
Qpct	31.8751290405437	2.86409520602952	0.38740208869523	7.39308147685985	1.43464504337949e-13	5.6062740195174e-11
Plxnc1	14.6395286573785	2.81888193629253	0.631983630479602	4.46037175702371	8.18176055658571e-06	0.000689227589880526
Slc7a14	8.7730362952455	2.8086961743951	0.791300317300131	3.54946928869965	0.000386008488463235	0.01729416374427
Mep1b	73.5613741818028	2.78461400120683	0.274816000966367	10.1326487228363	3.9578053214556e-24	4.63986710518645e-21
Pabpc6	7.26973681894606	2.77822451342249	0.846781188650881	3.2809237506195	0.00103467711446274	0.0355888451008846
Kcnf1	7.16802524134201	2.71205439566743	0.845083917515999	3.20921312008767	0.00133098795324431	0.0426882921910938
BC067074	165.59854402667	2.63474748033818	0.181314256763663	14.5313861544406	7.66534510800131e-48	1.07836074979362e-43
Ddx60	10.3078265389973	2.47153024969636	0.72276524586079	3.41954772154664	0.000627253292772089	0.0250687480759027
Lama3	125.152689979853	2.43701584149447	0.206510405947248	11.8009348260978	3.85999288786216e-32	6.78779749330562e-29
Gtsf1	11.2674116455981	2.38435517801868	0.6198179055274	3.84686398497933	0.000119639342163199	0.0068141144354327
Gm281	22.0778048077666	2.35141142695028	0.439399615434679	5.35141894610929	8.72672243251301e-08	1.32008098043648e-05
Nckap5	11.4057937361959	2.32987423805875	0.624201811433098	3.73256564685325	0.000189539276988193	0.00976717417095203
