	VC10.Ctrl_S1.bam	VC11.Ctrl_S3.bam	VC35B.Ctrl_S5.bam	VC35C.Ctrl_S7.bam	VC10.VC_S2.bam	VC11.VC_S4.bam	VC35B.VC_S6.bam	VC35C.VC_S8.bam
Xkr4	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.29468371145954	6.13179381389296	6.13179381389296
Gm1992	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Rp1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Sox17	6.40331295343811	6.47413892913521	6.31490184372467	6.3874074108349	6.50803496413872	6.36203288726458	6.34461296625808	6.13179381389296
Mrpl15	9.54715898814331	9.58604715283402	9.83456274755187	9.91989128266041	9.43339769915246	9.5231719242644	9.69405074852209	9.79151947236436
Lypla1	10.1139468429919	10.2268021793304	10.0525515531187	10.0762316064922	10.1527036209768	10.092027297944	10.1356092542785	10.1458181919005
Tcea1	9.58540904154646	9.59726631124811	9.68694116317102	9.7980846677202	9.51588373978641	9.47453898173852	9.63937864965506	9.84347468993894
Gm6104	8.06631877189786	7.82433597034148	7.73700744828637	7.71056293864055	7.94808989169229	7.87487720590833	7.56341328130463	7.47858229825859
Rgs20	6.35359708413874	6.13179381389296	6.31490184372467	6.2795009803371	6.42355807306468	6.36203288726458	6.43249391100309	6.13179381389296
Gm16041	6.13179381389296	6.30326731179385	6.13179381389296	6.13179381389296	6.42355807306468	6.45705735740555	6.13179381389296	6.31044822022519
Atp6v1h	9.26369906019071	9.16238937820202	9.27836173458886	9.45820811266519	9.36503189547749	9.26343775692079	9.50195123767025	9.46589637138068
Oprk1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.30043516619232	6.13179381389296	6.13179381389296	6.13179381389296
Npbwr1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Rb1cc1	8.85623318946014	8.8607281261932	8.73927185851051	8.72928118546474	8.96495165697094	8.87034519390796	8.77930117406133	8.76023640717369
4732440D04Rik	6.35359708413874	6.13179381389296	6.13179381389296	6.3874074108349	6.30043516619232	6.13179381389296	6.13179381389296	6.13179381389296
Fam150a	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
St18	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.46850385611377	6.13179381389296	6.34461296625808	6.13179381389296
Pcmtd1	9.03235720114287	8.92533095420255	8.73927185851051	8.53325503709676	9.31314410204171	9.20031768792082	8.84958055172358	8.80724230267638
Gm9826	9.43805893156342	9.39543998210636	9.39822081742127	9.58495319803798	9.20800437646538	9.28665705129421	9.24689972338306	9.32364847583463
Sntg1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.37015331092779	6.13179381389296	6.13179381389296	6.13179381389296
Rrs1	9.61497555162697	9.56143027061439	9.65467022302942	9.48836509590005	9.58477158600676	9.6256187086488	9.55320961011135	9.46145265502011
Adhfe1	6.87641372363976	6.97750500136139	6.81108884810333	6.77068232010532	7.09755962542756	6.92035888725219	6.83140017235245	6.88177138545374
2610203C22Rik	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
3110035E14Rik	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Mybl1	8.17652418508041	8.18985107052747	8.10363886384414	7.96151151316189	8.12927337852399	7.91057805077435	7.98794361314163	8.02370682396052
Vcpip1	9.3628048851309	9.30221490205438	9.2296125082633	9.23225353580867	9.39444083360388	9.40505626851042	9.15177425795623	9.26605429654248
Sgk3	7.69999773814356	7.63532750602534	7.73700744828637	7.94287509962102	7.89196268370314	7.53368944000166	7.96898974878074	7.96438844679946
Gm6195	7.40369916300459	7.34482564220442	7.14721508256637	7.42608045588183	7.17603766457443	7.06570935720963	7.21314626805145	7.1811219614383
6030422M02Rik	6.48198075348179	6.42844658045411	6.31490184372467	6.52157437132144	6.42355807306468	6.45705735740555	6.13179381389296	6.31044822022519
Gm10567	6.67246431947532	6.58388509172938	6.39057445479477	6.59706991894713	6.73576492128562	6.49525820719799	6.65076230603963	6.60267805973589
Ppp1r42	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm15818	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Cops5	9.52600109893147	9.64668339914196	9.70477677945863	9.83011208285694	9.65046896741636	9.58043084018386	9.61690686459649	9.68915390102962
Cspp1	8.55237634061042	8.60147213843553	8.43230765358179	8.1968621880928	8.50642625629789	8.55077651660928	8.38798900151642	8.23100070172204
Arfgef1	9.34054542393677	9.33397999660679	9.03160842788915	9.02017736877698	9.43945176668035	9.47453898173852	9.09143376684299	9.05397550795598
Cpa6	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Prex2	7.85783293952009	7.79607827578342	7.86678406136112	7.76626733369142	9.04188141495384	8.99699610934895	8.59187888138317	8.25268904089887
A830018L16Rik	7.44553069949979	7.41780226923	7.20618006541804	7.30847040882892	7.52817846104537	7.30764235369591	7.28670911450075	7.48883422633558
AC102654.1	6.95145460750285	7.04064707831522	6.54014617057472	6.7539048132771	6.99561730729275	6.79783231403592	6.69184775243849	7.07747049313684
Sulf1	9.37745169592436	9.4625523405598	9.29424291771485	9.29008523139183	9.47130948297146	9.48185013852565	9.09143376684299	9.03299900563995
Slco5a1	8.09946246129047	7.9564385632015	7.67536156644238	7.60917138601586	8.28313971605152	8.20194445737782	7.79473602853453	7.51901040364972
Dppa5b	6.35359708413874	6.30326731179385	6.13179381389296	6.13179381389296	6.13179381389296	6.36203288726458	6.13179381389296	6.38428838801323
Prdm14	7.79960259449615	8.05274385849543	7.95566007090522	8.09301947631592	7.5193811695205	7.86882323145378	8.01584157139536	8.03012633715256
Ncoa2	9.19697735637545	9.33397999660679	9.07228511419812	8.94532101676474	9.42528505551723	9.39733581717063	9.19442656965959	9.09500453102018
Tram1	10.0898670379372	10.0126718573737	10.1100273111842	10.0012389844514	10.2551233766303	10.1773272024324	10.1706046147347	10.04755144124
Lactb2	9.53905867599334	9.47478879163348	9.6708972683204	9.75670196828388	9.64699439738517	9.64036729128818	9.73371814553202	9.8038128540164
Xkr9	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.42355807306468	6.36203288726458	6.13179381389296	6.31044822022519
