	VC10-Ctrl_S1.bam	VC11-Ctrl_S3.bam	VC35B-Ctrl_S5.bam	VC35C-Ctrl_S7.bam	VC10-VC_S2.bam	VC11-VC_S4.bam	VC35B-VC_S6.bam	VC35C-VC_S8.bam
Xkr4	0	0	0	0	0	1	0	0
Gm1992	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0
Sox17	3	4	1	3	5	2	1	0
Mrpl15	740	640	688	1133	582	673	454	698
Lypla1	1171	1071	819	1283	1045	1068	647	926
Tcea1	764	646	610	1027	624	646	434	728
Gm6104	176	109	85	126	132	129	49	61
Rgs20	2	0	1	1	3	2	2	0
Gm16041	0	1	0	0	3	4	0	1
Atp6v1h	581	445	432	775	549	539	387	533
Oprk1	0	0	0	0	1	0	0	0
Npbwr1	0	0	0	0	0	0	0	0
Rb1cc1	402	338	264	402	385	378	203	283
4732440D04Rik	2	0	0	3	1	0	0	0
Fam150a	0	0	0	0	0	0	0	0
St18	0	0	0	0	4	0	1	0
Pcmtd1	473	359	264	331	525	510	217	296
Gm9826	675	545	479	862	479	550	311	472
Sntg1	0	0	0	0	2	0	0	0
Rrs1	783	627	594	795	661	733	404	531
Adhfe1	23	25	14	19	34	24	11	18
2610203C22Rik	0	0	0	0	0	0	0	0
3110035E14Rik	0	0	0	0	0	0	0	0
Mybl1	200	170	135	175	164	135	87	129
Vcpip1	633	503	414	638	563	609	286	449
Sgk3	110	84	85	171	123	80	85	120
Gm6195	70	53	32	82	40	34	27	36
6030422M02Rik	5	3	1	7	3	4	0	1
Gm10567	12	7	2	10	13	5	6	7
Ppp1r42	0	0	0	0	0	0	0	0
Gm15818	0	0	0	0	0	0	0	0
Cops5	727	673	619	1054	698	706	426	642
Cspp1	299	263	194	231	247	277	137	164
Arfgef1	621	517	347	528	585	646	271	372
Cpa6	0	0	0	0	0	0	0	0
Prex2	136	105	101	136	413	425	169	168
A830018L16Rik	75	60	36	67	74	55	31	62
AC102654.1	28	29	5	18	27	17	7	29
Sulf1	641	577	438	671	601	650	271	365
Slco5a1	183	129	78	109	195	191	68	65
Dppa5b	2	1	0	0	0	2	0	2
Prdm14	126	145	113	205	73	128	90	130
Ncoa2	548	517	360	493	578	605	297	386
Tram1	1149	905	857	1209	1132	1142	665	857
Lactb2	735	583	602	993	696	742	469	705
Xkr9	0	0	0	0	3	2	0	1
