	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ETnERV3-int:ERVK:LTR	148.978722915363	1.86855372776716	0.150995727348275	12.3748781543818	3.57436314593805e-35	3.04893176348515e-32
IAP-d-int:ERVK:LTR	36.4200929979851	1.07676838350261	0.17230117949213	6.24933843561873	4.12194877824011e-10	8.16755573848224e-08
MMERVK10D3_I-int:ERVK:LTR	33.9909158730123	1.06361045725993	0.170836017078949	6.22591462530059	4.78754732619123e-10	8.16755573848224e-08
RLTR13B2:ERVK:LTR	51.5302915529348	0.975277050128311	0.155751205527814	6.26176244879303	3.80650505663232e-10	8.16755573848224e-08
MURVY-int:ERV1:LTR	19.8888780044023	0.926119297654488	0.190662047510992	4.85738672034925	1.1894514483565e-06	0.000101460208544809
ETnERV2-int:ERVK:LTR	75.2680912000557	0.873006807863871	0.170571847561167	5.11811779227408	3.08599856040829e-07	2.92484085780919e-05
RLTR10D2:ERVK:LTR	8.67973782656234	0.764498690506745	0.208159362596203	3.672660604701	0.000240038195521572	0.0127970362987438
L1Md_T:L1:LINE	4527.75852881593	0.76175610091988	0.109885858091579	6.93224873654835	4.14202820246707e-12	1.7665750283522e-09
L1Md_Gf:L1:LINE	183.290427791601	0.734525280226931	0.135623167887606	5.41592776269353	6.09717154335141e-08	6.50110915809844e-06
IAPEy-int:ERVK:LTR	20.491329078834	0.729079676445784	0.208509759860967	3.49662134248262	0.000471190143344837	0.0191392948701498
IAPEY3-int:ERVK:LTR	26.5029056674073	0.705663704178067	0.179960508630285	3.9212142127682	8.81038966600229e-05	0.00536804456078568
MMERVK9E_I-int:ERVK:LTR	138.47701095043	0.696291643162056	0.12319559085352	5.6519201567039	1.58665294102808e-08	1.93344994099564e-06
MMERVK9C_I-int:ERVK:LTR	327.989073762929	0.66175647465555	0.116986561701904	5.65668795653457	1.54321963831164e-08	1.93344994099564e-06
BGLII:ERVK:LTR	100.94195518911	0.658831871214579	0.139715569266866	4.7155222189745	2.41091580657096e-06	0.000186955562091366
RLTR1B:ERV1:LTR	40.036141843678	0.624637957714353	0.177921075076843	3.51075867456723	0.000446829838637262	0.019119009967193
RLTR10-int:ERVK:LTR	103.054801382652	0.578342223325359	0.164645168169949	3.51265834129056	0.000443647565482516	0.019119009967193
RLTR45-int:ERVK:LTR	84.9151415937557	0.525436667274219	0.142322378648862	3.69187665539639	0.000222605422925243	0.0126588283836822
ORR1A0-int:ERVL-MaLR:LTR	192.481678824927	0.513449450430917	0.116810219150118	4.3955867403267	1.1047393723413e-05	0.000785285570505939
RLTR9E:ERVK:LTR	179.90333911615	0.458622433756275	0.130665421261574	3.50989901787541	0.000448276904271817	0.019119009967193
RMER16-int:ERVK:LTR	427.917899496588	0.456995992554332	0.109703799199442	4.16572621813683	3.10362990372565e-05	0.00203645869836768
RLTR1B-int:ERV1:LTR	1582.86223323444	0.353905219116705	0.0993419144448801	3.56249646581021	0.000367344855325535	0.0184320683289813
U3:snRNA:snRNA	6787.59341702369	-0.478540580288699	0.143865199259555	-3.32631228922387	0.000880032714102345	0.0341212684149682
