Var1,Var2,Var3,Var4,Var5,Var6,Var7
sampleID,sampleName,cellType,cellID,medium,treatment,expID
qp22,2i-Ctrl3,E14,2i-3,2i,Ctrl,VC4
qp23,2i-24hrs-VC3,E14,2i-3,2i,24hrs-VC,VC4
qp29,2i-Ctrl4,E14,2i-3,2i,Ctrl,VC6
qp30,2i-24hrs-VC4,E14,2i-3,2i,24hrs-VC,VC6
qp56,2i-Ctrl5,E14,2i-4,2i,Ctrl,VC9
qp57,2i-24hrs-VC5,E14,2i-4,2i,24hrs-VC,VC9
qp61,2i-Ctrl7,E14,2i-5,2i,Ctrl,VC10
qp62,2i-24hrs-VC7,E14,2i-5,2i,24hrs-VC,VC10
qp64,2i-Ctrl8,E14,2i-6,2i,Ctrl,VC11
qp65,2i-24hrs-VC8,E14,2i-6,2i,24hrs-VC,VC11
qp74,2i-Ctrl10,E14,2i-7,2i,Ctrl,VC12B
qp75,2i-24hrs-VC10,E14,2i-7,2i,24hrs-VC,VC12B
qp77,2i-24hrs-VC11,E14,2i-7,2i,24hrs-VC,VC12C
qp76,2i-Ctrl11,E14,2i-7,2i,Ctrl,VC12C
qp72,2i-Ctrl9,E14,2i-7,2i,Ctrl,VC12A
qp73,2i-24hrs-VC9,E14,2i-7,2i,24hrs-VC,VC12A
qp298,2i-Ctrl16,E14,2i-5,2i,Ctrl,VC34B
qp299,2i-24hrs-VC16,E14,2i-5,2i,24hrs-VC,VC34B
qp302,2i-Ctrl17,E14,2i-5,2i,Ctrl,VC34C
qp303,2i-24hrs-VC17,E14,2i-5,2i,24hrs-VC,VC34C
qp294,2i-Ctrl15,E14,2i-5,2i,Ctrl,VC34A
qp295,2i-24hrs-VC15,E14,2i-5,2i,24hrs-VC,VC34A
qp306,2i-Ctrl18,E14,2i-5,2i,Ctrl,VC35A
qp307,2i-24hrs-VC18,E14,2i-5,2i,24hrs-VC,VC35A
qp310,2i-Ctrl19,E14,2i-5,2i,Ctrl,VC35B
qp311,2i-24hrs-VC19,E14,2i-5,2i,24hrs-VC,VC35B
qp314,2i-Ctrl20,E14,2i-5,2i,Ctrl,VC35C
qp315,2i-24hrs-VC20,E14,2i-5,2i,24hrs-VC,VC35C
