all_data1,all_data2,all_data3,all_data4,all_data5,all_data6,all_data7,all_data8
2i-Ctrl23,L1 GF,1,0.0517588102874503,0.00170029406893774,8.80051981470257e-05,27.7433333333333,0.0115470053837923
2i-Ctrl23,L1 A,1,0.0525266593711421,0.154249031203009,0.00810218632032914,21.24,0.0173205080756894
2i-Ctrl23,ORF1a,1,0.0947254396912505,0.705474903559026,0.0668264204307713,19.0466666666667,0.11503622617825
2i-Ctrl23,ETnERV3-int-B2,1,0.0972284008848173,0.00101803296957141,9.898171767945e-05,28.4833333333333,0.119303534454487
2i-Ctrl23,Dazl,1,0.116487092666319,0.000736683899780389,8.58141656995034e-05,28.95,0.150996688705415
2i-Ctrl23,HSPC,1,0.0512925836840031,1.52273687213228,0.0781051084425619,17.9366666666667,0.00577350269189716
2i-Ctrl23,ATP5b,1,0.110779147948847,0.656712277939202,0.0727500265976513,19.15,0.14177446878758
2i-24hrs-VC23,L1 GF,3.913157920808,0.672717611613269,0.00665351920356659,0.00114381776509601,25.61,0.0199999999999996
2i-24hrs-VC23,L1 A,1.09555860941588,0.191426890498202,0.168988854128516,0.0295274124055522,20.9433333333333,0.049328828623162
2i-24hrs-VC23,ORF1a,2.2683868006814,0.400903060505631,1.60028995944527,0.282827047946728,17.7,0.0624499799839844
2i-24hrs-VC23,ETnERV3-int-B2,5.78239300735843,1.00796939638249,0.00588666672451005,0.00102614607783637,25.7866666666667,0.0461880215351691
2i-24hrs-VC23,Dazl,3.40660183222607,0.614591519098759,0.00250958872276332,0.000452759677061627,27.0166666666667,0.0814452781524701
2i-24hrs-VC23,HSPC,1.05579763050924,0.340549752679192,1.6077019814863,0.518567665200132,17.6933333333333,0.394250343479031
2i-24hrs-VC23,ATP5b,0.947151206919902,0.175112851466749,0.622005826649233,0.114998759583158,19.0633333333333,0.100166528008779
2i-Ctrl-Succ12,L1 GF,3.02793310622279,0.329532394465203,0.00514837670165085,0.000560301975832038,27.4066666666667,0.153079500042733
2i-Ctrl-Succ12,L1 A,1.40606829162234,0.0426909144808847,0.216884671788017,0.00658503219984699,22.01,0.026457513110646
2i-Ctrl-Succ12,ORF1a,1.26429517892193,0.139992000414862,0.891928519420093,0.09876084299171,19.97,0.155884572681199
