Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
sampleID,sampleName,cellType,cellID,medium,treatment,expID,plotTag
qp743,shScr-Ctrl2,E14,NaN,2i,Ctrl,VC66B,shScr-Ctrl
qp744,shScr-VC2,E14,NaN,2i,24hrs-VC,VC66B,shScr-24hrs-VC
qp745,shKdm3a/b-Ctrl2,E14,NaN,2i,Ctrl,VC66B,shKdm3a/b-Ctrl
qp746,shKdm3a/b-VC2,E14,NaN,2i,24hrs-VC,VC66B,shKdm3a/b-24hrs-VC
qp751,shScr-Ctrl4,NaN,NaN,2i,Ctrl,VC66D,shScr-Ctrl
qp752,shScr-VC4,NaN,NaN,2i,24hrs-VC,VC66D,shScr-24hrs-VC
qp753,shKdm3a/b-Ctrl4,NaN,NaN,2i,Ctrl,VC66D,shKdm3a/b-Ctrl
qp754,shKdm3a/b-VC4,NaN,NaN,2i,24hrs-VC,VC66D,shKdm3a/b-24hrs-VC
qp757,shScr-Ctrl5,NaN,NaN,2i,Ctrl,VC66E,shScr-Ctrl
qp758,shScr-VC5,NaN,NaN,2i,24hrs-VC,VC66E,shScr-24hrs-VC
qp759,shKdm3a/b-Ctrl5,NaN,NaN,2i,Ctrl,VC66E,shKdm3a/b-Ctrl
qp760,shKdm3a/b-VC5,NaN,NaN,2i,24hrs-VC,VC66E,shKdm3a/b-24hrs-VC
qp763,shScr-Ctrl6,NaN,NaN,2i,Ctrl,VC66F,shScr-Ctrl
qp764,shScr-VC6,NaN,NaN,2i,24hrs-VC,VC66F,shScr-24hrs-VC
qp765,shKdm3a/b-Ctrl6,NaN,NaN,2i,Ctrl,VC66F,shKdm3a/b-Ctrl
qp766,shKdm3a/b-VC6,NaN,NaN,2i,24hrs-VC,VC66F,shKdm3a/b-24hrs-VC
qp769,shScr-Ctrl7,NaN,NaN,2i,Ctrl,VC66G,shScr-Ctrl
qp770,shScr-VC7,NaN,NaN,2i,24hrs-VC,VC66G,shScr-24hrs-VC
qp771,shKdm3a/b-Ctrl7,NaN,NaN,2i,Ctrl,VC66G,shKdm3a/b-Ctrl
qp772,shKdm3a/b-VC7,NaN,NaN,2i,24hrs-VC,VC66G,shKdm3a/b-24hrs-VC
qp775,shScr-Ctrl8,NaN,NaN,2i,Ctrl,VC66G,shScr-Ctrl
qp776,shScr-VC8,NaN,NaN,2i,24hrs-VC,VC66G,shScr-24hrs-VC
qp777,shKdm3a/b-Ctrl8,NaN,NaN,2i,Ctrl,VC66G,shKdm3a/b-Ctrl
qp778,shKdm3a/b-VC8,NaN,NaN,2i,24hrs-VC,VC66G,shKdm3a/b-24hrs-VC
