all_data1,all_data2,all_data3,all_data4,all_data5,all_data6,all_data7,all_data8
shScr-Ctrl6,L1 TF,1,0.113319197360303,0.0452010469793818,0.00512214636354891,23.68,0.0424264068711945
shScr-Ctrl6,L1 GF,1,0.125075509479565,0.00179620367749022,0.000224661090091158,28.3333333333333,0.0873689494805404
shScr-Ctrl6,L1 A,1,0.117141243872088,0.0313766107486223,0.00367549521158395,24.2066666666667,0.0602771377334176
shScr-Ctrl6,ORF1a,1,0.157240087238042,0.429034826398237,0.0674614735310168,20.4333333333333,0.162890556304942
shScr-Ctrl6,Dazl,1,0.158305913169312,0.000836024784678028,0.000132347666970632,29.4366666666667,0.165025250593154
shScr-Ctrl6,HSPC,1,0.114688861488072,1.41176503911088,0.16191372502429,18.715,0.0494974746830585
shScr-Ctrl6,ATP5b,1,0.214570603187229,0.708333166140588,0.151987474716305,19.71,0.266270539113887
shScr-Ctrl6,Oct4,1,0.196248430653799,0.0139444354118627,0.00273657356593131,25.3766666666667,0.23501772982763
shScr-Ctrl6,Nanog,1,0.146919996405168,0.0630438739868998,0.00926240573952316,23.2,0.141421356237309
shScr-Ctrl6,Kdm3a,1,0.167975405746692,0.0233975292293301,0.00393020946576681,24.63,0.183847763108503
shScr-Ctrl6,Kdm3b,1,0.143696214169177,0.00081976612755017,0.000117797289033086,29.465,0.134350288425442
shScr-Ctrl6,Kdm4a,1,0.112539212656211,0.0206054055187394,0.00231891611354089,24.8133333333333,0.0378593889720016
shScr-Ctrl6,Kdm4c,1,0.179386382706691,0.000621266550095933,0.000111446759118375,29.865,0.205060966544101
shScr-VC6,L1 TF,3.4046346700401,0.357236548678291,0.153893051668115,0.0161474660195597,22.175,0.00707106781186407
shScr-VC6,L1 GF,4.85958573383266,0.552613997103053,0.00872880576618924,0.000992607293829073,26.315,0.0636396103067892
shScr-VC6,L1 A,1.38430962853374,0.154615433613565,0.0434349443700731,0.00485130827622228,24,0.0556776436283
shScr-VC6,ORF1a,3.27728241417217,0.405080642325392,1.40606829162235,0.173793703057361,18.9833333333333,0.0945163125250522
shScr-VC6,Dazl,2.91972670176986,0.468099070208303,0.00244096388716584,0.000391342424378882,28.1533333333333,0.175023807904333
shScr-VC6,HSPC,1.05275276645338,0.151840431522378,1.48623955050614,0.214363012746802,18.9033333333333,0.142945210949276
shScr-VC6,ATP5b,0.949890640866137,0.144698866951895,0.672839045132023,0.102495006564992,20.0466666666667,0.159478316185409
shScr-VC6,Oct4,0.762688930819287,0.115901048857449,0.0106352665351521,0.00161617468995984,26.03,0.158745078663876
shScr-VC6,Nanog,0.563504876318474,0.0807732141559164,0.0355255304136254,0.00509225633476246,24.29,0.141067359796659
shScr-VC6,Kdm3a,1.01337396294802,0.165922699978546,0.0237104469183184,0.0038821812225574,24.8733333333333,0.181475434517549
shScr-VC6,Kdm3b,1.64813375903008,0.276305578460539,0.0013510842293248,0.000226505954075106,29.0066666666667,0.188767935130237
shScr-VC6,Kdm4a,1.01571806093097,0.116323291315332,0.0209292825381903,0.00239688858882689,25.0533333333333,0.0665832811847935
shScr-VC6,Kdm4c,1.5183453802076,0.163432958893765,0.000943297196215671,0.0001015354305439,29.525,0.0353553390593279
shKdm4a/c-Ctrl6,L1 TF,0.309033112262916,0.0426970218405137,0.0139686202255807,0.00192995009009275,26.95,0.193132079158279
shKdm4a/c-Ctrl6,L1 GF,0.513760068151768,0.0532162281524393,0.000922817723761832,9.558718470957e-05,30.87,0.141067359796659
shKdm4a/c-Ctrl6,L1 A,0.538057899915273,0.0834488899374721,0.0168824332858627,0.00261834333697269,26.6766666666667,0.218250620464944
shKdm4a/c-Ctrl6,ORF1a,0.457708186148104,0.0234530799256716,0.196372752185104,0.0100621880744145,23.1366666666667,0.0550757054728625
shKdm4a/c-Ctrl6,Dazl,0.165989819586113,0.0120477674673719,0.000138771603178225,1.00722322027606e-05,33.6033333333333,0.0923760430703423
