Var1,Var2,Var3,Var4,Var5,Var6,Var7
sampleID,sampleName,cellType,cellID,medium,treatment,expID
qp368,ser-Ctrl7,E14,NaN,serum,Ctrl,VC44B
qp369,ser-24hrs-VC7,E14,NaN,serum,24hrs-VC,VC44B
qp370,ser-Ctrl-aKG11,E14,NaN,serum,24hrs-aKG,VC44B
qp371,ser-VC-aKG11,E14,NaN,serum,24hrs-VC-aKG,VC44B
qp372,ser-Ctrl8,E14,NaN,serum,Ctrl,VC44C
qp373,ser-24hrs-VC8,E14,NaN,serum,24hrs-VC,VC44C
qp374,ser-Ctrl-aKG12,E14,NaN,serum,24hrs-aKG,VC44C
qp375,ser-VC-aKG12,E14,NaN,serum,24hrs-VC-aKG,VC44C
qp376,ser-Ctrl9,E14,NaN,serum,Ctrl,VC44D
qp377,ser-24hrs-VC9,E14,NaN,serum,24hrs-VC,VC44D
qp378,ser-Ctrl-aKG13,E14,NaN,serum,24hrs-aKG,VC44D
qp379,ser-VC-aKG13,E14,NaN,serum,24hrs-VC-aKG,VC44D
qp363,ser-Ctrl6,E14,NaN,serum,Ctrl,VC44A
qp364,ser-24hrs-VC6,E14,NaN,serum,24hrs-VC,VC44A
qp365,ser-Ctrl-aKG10,E14,NaN,serum,24hrs-aKG,VC44A
qp366,ser-VC-aKG10,E14,NaN,serum,24hrs-VC-aKG,VC44A
