all_data1,all_data2,all_data3,all_data4,all_data5,all_data6,all_data7,all_data8
serum-Ctrl1,L1 TF,1,0.0473308701440952,0.207929544169157,0.00984148625419129,24.1833333333333,0.0461880215351711
serum-Ctrl1,L1 GF,1,0.0601457389055608,0.0141554360349125,0.000851389159850216,28.06,0.0707106781186533
serum-Ctrl1,L1 A,1,0.0362123658670436,5.41702218774758,0.196163189372608,19.48,0.0141421356237306
serum-Ctrl1,L1 F,1,0.0348603620019212,0.000115285604657601,4.01889791197434e-06,35,0
serum-Ctrl1,ORF1a,1,0.222631608581397,0.786853340965597,0.175178425016817,22.2633333333333,0.317227573412738
serum-Ctrl1,ORF1b,1,0.127394668349381,13.8565865431781,1.76525524712267,18.125,0.176776695296637
serum-Ctrl1,IAP LTR1,1,0.0969482396744698,0.123635646672617,0.0119862583059249,24.9333333333333,0.130511813003013
serum-Ctrl1,IAP LTR2,1,0.0698763396662084,0.0018746452579442,0.000130993348797755,30.9766666666667,0.0873689494805419
serum-Ctrl1,IAP LTR3,1,0.104270563529027,0.00175720716198883,0.000183224981017817,31.07,0.141774468787578
serum-Ctrl1,IAP GAG,1,0.125207350254858,0.0169508332064032,0.00212236891038581,27.8,0.173493515728974
serum-Ctrl1,MuSD GAG,1,0.115908440127935,0.023861579148684,0.00276575841811323,27.3066666666667,0.159478316185408
serum-Ctrl1,Etn/EtnII,1,0.0758123886327289,1.77051205491816,0.134226747986387,21.0933333333333,0.097125348562222
serum-Ctrl1,MuLV GAG,1,0.10411685847034,0.0321471206261454,0.00334705720846135,26.8766666666667,0.141539158303747
serum-Ctrl1,MuLV,1,0.339981006531442,0.0100441549471725,0.00341482190869745,28.555,0.487903679018716
serum-Ctrl1,MERV GAG,1,0.0426123351425706,0.860054506775252,0.0366489308835853,22.135,0.0353553390593279
serum-Ctrl1,MERV,1,0.142777169373262,0.160150476975025,0.0228658317762719,24.56,0.199749843554382
serum-Ctrl1,Dnmt3a,1,0.0766527173289467,0.0570155795153124,0.00437039909993333,26.05,0.0984885780179597
serum-Ctrl1,Dnmt3b,1,0.0598788753031319,0.188264557898312,0.0112730699863923,24.3266666666667,0.0702376916856834
serum-Ctrl1,mTET1,1,0.0858198311409314,0.247843271865666,0.0212698677409274,23.93,0.113137084989848
serum-Ctrl1,mTET2,1,0.120581127979892,0.0157427712251111,0.00189828111185329,27.9066666666667,0.166533279957291
serum-Ctrl1,HSPC,1,0.065131396627046,4.58683814443906,0.298747174449524,19.72,0.0793725393319367
serum-Ctrl1,ATP5b,1,0.0378344908141783,0.218015105070225,0.00824849049013157,24.115,0.0212132034355947
serum-Ctrl1,GADPH,1,0.0436336356364491,0.737560517287345,0.032182446871147,22.3566666666667,0.0378593889720016
serum-Ctrl1,HPRT,1,0.160668724870514,0.000185988365907987,2.98825135911869e-05,34.31,0.226274169979695
serum-Ctrl1,Tubb3,1,0.035767376766556,0.105416066219368,0.00377045615771635,25.1633333333333,0.0115470053837943
serum-Ctrl1,oct4,1,0.140629820012013,0.68026400884374,0.0956654051243459,22.4733333333333,0.196553639837406
serum-Ctrl1,nanog,1,0.0993952422900441,0.160892241839707,0.0159919233602461,24.5533333333333,0.134288247189891
serum-Ctrl1,sox2,1,0.104347331154777,0.0093607077753811,0.000976764874080785,28.6566666666667,0.141891977691951
serum-Ctrl1,GLUT1,1,0.0712382204347814,0.463561717374715,0.0330233118074658,23.0266666666667,0.0896288643983247
serum-Ctrl1,Esrrb,1,0.0506015145808502,0.0731752713145087,0.00370277955837878,25.69,0.0529150262212927
serum-Ctrl1,Stella/DDPA3,1,0.160419336893024,0.00431676618232991,0.000692492768491595,29.7733333333333,0.2259055849981
serum-Ctrl1,gata4,1,0.0348603620019212,0.000115285604657601,4.01889791197434e-06,35,0
serum-Ctrl1,ORF2b,1,0.359488456556547,3.25464457094215,1.17000715344814,20.215,0.516187950266177
serum-Ctrl1,ORF2,1,0.101468255143956,3.57390181478261,0.36263758120181,20.08,0.137477270848675
serum-Ctrl1,EOMES,1,0.0426123351425696,0.00021737897057034,9.2630255468901e-06,34.085,0.0353553390593254
serum-Ctrl1,gata6,1,0.0348603620019212,0.000115285604657601,4.01889791197434e-06,35,0
serum-24hrs-VC1,L1 TF,3.10408199400054,0.467977942052067,0.645430354076221,0.0973064401721068,24.61,0.0282842712474613
serum-24hrs-VC1,L1 GF,4.69405040383386,0.746274505063576,0.0664463302361255,0.0105638410209135,27.89,0.0781024967590665
serum-24hrs-VC1,L1 A,2.44669341282961,0.370812829055037,13.2537925039138,2.00870132249259,20.25,0.0360555127546401
serum-24hrs-VC1,L1 F,4.17227234647471,0.623679366546677,0.000481002940259525,7.19012528848032e-05,35,0
serum-24hrs-VC1,ORF1a,4.85958573383264,0.726680580369286,3.82378127037497,0.571791042478391,22.0433333333333,0.00577350269189716
serum-24hrs-VC1,ORF1b,3.31536260153617,0.788534585467329,45.9396088102021,10.9263977258171,18.4566666666667,0.266895734947812
serum-24hrs-VC1,IAP LTR1,2.90962521476728,0.4498012880411,0.359733395002705,0.0556114731211375,25.4533333333333,0.0568624070307728
serum-24hrs-VC1,IAP LTR2,3.2810706670403,0.536944316094282,0.00615084356694689,0.00100658011594623,31.3233333333333,0.0960902353693312
serum-24hrs-VC1,IAP LTR3,2.83006136025893,0.493961300333434,0.00497300409111483,0.000867992334691223,31.63,0.130000000000001
serum-24hrs-VC1,IAP GAG,2.78144260000946,0.573732121865499,0.0471477695859448,0.00972523750289789,28.385,0.205060966544101
serum-24hrs-VC1,MuSD GAG,1.38751176074421,0.251820348069505,0.033108221698728,0.00600883116670964,28.895,0.148492424049176
serum-24hrs-VC1,Etn/EtnII,1.38430962853373,0.207927980662812,2.45093688505825,0.368138996318299,22.685,0.0212132034355947
serum-24hrs-VC1,MuLV GAG,6.441961327797,1.11816174378244,0.207090507873654,0.0359456804569152,26.25,0.127279220613578
serum-24hrs-VC1,MuLV,4.48725550409399,0.786906218702538,0.0450706895706725,0.00790380798954187,28.45,0.13228756555323
serum-24hrs-VC1,MERV GAG,1.64243164939932,0.266765768134051,1.41258074213619,0.229433101137053,23.48,0.0916515138991168
