Var1,Var2,Var3,Var4,Var5,Var6,Var7
sampleID,sampleName,cellType,cellID,medium,treatment,expID
qp1,serum-Ctrl1,E14,ESC1,serum,Ctrl,VC1
qp2,serum-24hrs-VC1,E14,ESC1,serum,24hrs-VC,VC1
qp3,serum-48hrs-VC1,E14,ESC1,serum,48hrs-VC,VC1
qp16,serum-Ctrl2,E14,ESC3,serum,Ctrl,VC3
qp17,serum-24hrs-VC2,E14,ESC3,serum,24hrs-VC,VC3
qp18,serum-48hrs-VC2,E14,ESC3,serum,48hrs-VC,VC3
qp19,serum-Ctrl3,E14,ESC4,serum,Ctrl,VC4
qp20,serum-24hrs-VC3,E14,ESC4,serum,24hrs-VC,VC4
qp21,serum-48hrs-VC3,E14,ESC4,serum,48hrs-VC,VC4
qp6,serum-Ctrl-VC2,E14,ESC2,serum,Ctrl,VC2
qp7,serum-1week-VC2,E14,ESC-VC2,serum,1week-VC,VC2
qp12,serum-Ctrl-VC4,E14,ESC2,serum,Ctrl,VC2.2
qp13,serum-2week-VC2,E14,ESC-VC2,serum,2week-VC,VC2.2
qp4,serum-Ctrl-VC1,E14,ESC1,serum,Ctrl,VC2
qp5,serum-1week-VC1,E14,ESC-VC1,serum,1week-VC,VC2
qp10,serum-Ctrl-VC3,E14,ESC1,serum,Ctrl,VC2.2
qp11,serum-2week-VC1,E14,ESC-VC1,serum,2week-VC,VC2.2
