all_data1,all_data2,all_data3,all_data4
shScr-Ctrl1,L1 A,1,0.359079573
shScr-Ctrl1,L1 GF,1,0.020227166
shScr-Ctrl1,L1 TF,1,0.595519693
shScr-Ctrl1,ORF1a,1,0.111643627
shScr-Ctrl1,ORF2a,1,0.219154955
shScr-Ctrl1,SETDB1,1,0.017923113
shScr-VC1,L1 A,0.78979987,0.283601
shScr-VC1,L1 GF,4.834017727,0.09777848
shScr-VC1,L1 TF,2.696804313,1.606000077
shScr-VC1,ORF1a,1.420592409,0.158600089
shScr-VC1,ORF2a,1.29076075,0.282876615
shScr-VC1,SETDB1,1.163066804,0.020845778
shSetdb1-Ctrl1,L1 A,1.064339224,0.382182474
shSetdb1-Ctrl1,L1 GF,15.15317833,0.306505857
shSetdb1-Ctrl1,L1 TF,5.503214664,3.277272708
shSetdb1-Ctrl1,ORF1a,2.944556528,0.32874097
shSetdb1-Ctrl1,ORF2a,2.976516013,0.652318234
shSetdb1-Ctrl1,SETDB1,0.20830999,0.003733564
shSetdb1-VC1,L1 A,1.515910441,0.544332475
shSetdb1-VC1,L1 GF,29.17487946,0.590125136
shSetdb1-VC1,L1 TF,8.941206664,5.324664649
shSetdb1-VC1,ORF1a,4.909165664,0.548077058
shSetdb1-VC1,ORF2a,5.119383833,1.121938336
shSetdb1-VC1,SETDB1,0.198943362,0.003565684
shScr-Ctrl2,L1 A,1,0.160187361
shScr-Ctrl2,L1 GF,1,0.028398332
shScr-Ctrl2,L1 TF,1,0.717000009
shScr-Ctrl2,ORF1a,1,0.079556337
shScr-Ctrl2,ORF2a,1,0.192641929
shScr-Ctrl2,SETDB1,1,0.01372879
shScr-VC2,L1 A,1.478068331,0.236767866
shScr-VC2,L1 GF,4.728244137,0.134274249
shScr-VC2,L1 TF,2.286048182,1.639096568
shScr-VC2,ORF1a,1.935846037,0.15400882
shScr-VC2,ORF2a,1.680192574,0.323675539
shScr-VC2,SETDB1,1.650160495,0.022654706
shSetdb1-Ctrl2,L1 A,1.399440709,0.224172714
shSetdb1-Ctrl2,L1 GF,10.56540926,0.300040005
shSetdb1-Ctrl2,L1 TF,3.778263233,2.709014774
shSetdb1-Ctrl2,ORF1a,3.272868216,0.260377407
shSetdb1-Ctrl2,ORF2a,2.558014464,0.492780841
shSetdb1-Ctrl2,SETDB1,0.163368908,0.002242857
shSetdb1-VC2,L1 A,4.430210202,0.709663682
shSetdb1-VC2,L1 GF,33.86062471,0.961585277
shSetdb1-VC2,L1 TF,10.46881867,7.506143082
shSetdb1-VC2,ORF1a,9.319258293,0.741406053
shSetdb1-VC2,ORF2a,7.70581446,1.484462964
shSetdb1-VC2,SETDB1,0.23980219,0.003292194
shScr-Ctrl3,L1 A,1,0.242268473
shScr-Ctrl3,L1 GF,1,0.020837616
shScr-Ctrl3,L1 TF,1,0.523896224
shScr-Ctrl3,ORF1a,1,0.054276616
shScr-Ctrl3,ORF2a,1,0.136882764
shScr-VC3,L1 A,0.988064412,0.239376856
shScr-VC3,L1 GF,8.046971384,0.167679698
shScr-VC3,L1 TF,4.263192968,2.233470697
shScr-VC3,ORF1a,3.979170122,0.21597589
shScr-VC3,ORF2a,2.689464273,0.368141303
shSetdb1-Ctrl3,L1 A,1.311199673,0.317662342
shSetdb1-Ctrl3,L1 GF,15.65865709,0.32628908
shSetdb1-Ctrl3,L1 TF,5.520655851,2.892250753
shSetdb1-Ctrl3,ORF1a,5.758923634,0.312574888
shSetdb1-Ctrl3,ORF2a,4.124473407,0.564569319
shSetdb1-VC3,L1 A,1.734877503,0.420306123
shSetdb1-VC3,L1 GF,31.67491277,0.660029663
shSetdb1-VC3,L1 TF,10.49560643,5.498608575
shSetdb1-VC3,ORF1a,12.16335173,0.660185574
shSetdb1-VC3,ORF2a,9.206367955,1.26019309
