Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
sampleID,sampleName,cellType,cellID,medium,treatment,expID,plotTag
qp138,2iTTWT-Ctrl1,TT WT,2iTTWT-1,2i,Ctrl,VC19A,TT WT-Ctrl
qp139,2iTTWT-VC1,TT WT,2iTTWT-1,2i,24hrs-VC,VC19A,TT WT-24hrs-VC
qp140,2iTTKO-Ctrl1,TT KO,2iTTKO-1,2i,Ctrl,VC19A,TT KO-Ctrl
qp141,2iTTKO-VC1,TT KO,2iTTKO-1,2i,24hrs-VC,VC19A,TT KO-24hrs-VC
qp142,2iTTWT-Ctrl2,TT WT,2iTTWT-1,2i,Ctrl,VC19B,TT WT-Ctrl
qp143,2iTTWT-VC2,TT WT,2iTTWT-1,2i,24hrs-VC,VC19B,TT WT-24hrs-VC
qp144,2iTTKO-Ctrl2,TT KO,2iTTKO-1,2i,Ctrl,VC19B,TT KO-Ctrl
qp145,2iTTKO-VC2,TT KO,2iTTKO-1,2i,24hrs-VC,VC19B,TT KO-24hrs-VC
qp146,2iTTWT-Ctrl3,TT WT,2iTTWT-1,2i,Ctrl,VC19C,TT WT-Ctrl
qp147,2iTTWT-VC3,TT WT,2iTTWT-1,2i,24hrs-VC,VC19C,TT WT-24hrs-VC
qp148,2iTTKO-Ctrl3,TT KO,2iTTKO-1,2i,Ctrl,VC19C,TT KO-Ctrl
qp149,2iTTKO-VC3,TT KO,2iTTKO-1,2i,24hrs-VC,VC19C,TT KO-24hrs-VC
