Var1,Var2,Var3,Var4,Var5,Var6,Var7
sampleID,sampleName,cellType,cellID,medium,treatment,expID
qp347,primed-Ctrl-24hrs,hESC,hESC,primed,Ctrl,VC43
qp348,primed-VC-24hrs,hESC,hESC,primed,24hrs-VC,VC43
qp349,primed-aKG-24hrs,hESC,hESC,primed,24hrs-aKG,VC43
qp350,primed-VC-aKG-24hrs,hESC,hESC,primed,24hrs-VC-aKG,VC43
qp351,primed-Ctrl-48hrs,hESC,hESC,primed,Ctrl,VC43
qp352,primed-VC-48hrs,hESC,hESC,primed,48hrs-VC,VC43
qp353,primed-aKG-48hrs,hESC,hESC,primed,48hrs-aKG,VC43
qp354,primed-VC-aKG-48hrs,hESC,hESC,primed,48hrs-VC-aKG,VC43
qp431,primed-Ctrl-24hrs-3,hESC,hESC,primed,Ctrl,VC52
qp432,primed-VC-24hrs-3,hESC,hESC,primed,24hrs-VC,VC52
qp433,primed-Ctrl-48hrs-3,hESC,hESC,primed,Ctrl,VC52
qp434,primed-VC-48hrs-3,hESC,hESC,primed,48hrs-VC,VC52
qp435,primed-Ctrl-24hrs-4,hESC,hESC,primed,Ctrl,VC52
qp436,primed-VC-24hrs-4,hESC,hESC,primed,24hrs-VC,VC52
qp437,primed-Ctrl-48hrs-4,hESC,hESC,primed,Ctrl,VC52
qp438,primed-VC-48hrs-4,hESC,hESC,primed,48hrs-VC,VC52
