amp	pos	met	hmet	sample	exp
EtnI	102	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	109	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	142	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	27	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	37	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	56	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	68	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	99	NA	NA	WT_Ctrl	Kdm4_KO
IAP1a_2	129	84	NA	WT_Ctrl	Kdm4_KO
IAP1a_2	22	75.2	NA	WT_Ctrl	Kdm4_KO
IAP1a_2	31	85.6	NA	WT_Ctrl	Kdm4_KO
IAP1a_2	58	81.6	NA	WT_Ctrl	Kdm4_KO
IAP1a_2	66	94.4	NA	WT_Ctrl	Kdm4_KO
L1A	119	83.96946565	4.842415539	WT_Ctrl	Kdm4_KO
L1A	128	75	6.544633902	WT_Ctrl	Kdm4_KO
L1A	135	76.72651934	4.787738283	WT_Ctrl	Kdm4_KO
L1A	142	79.84764543	5.726446818	WT_Ctrl	Kdm4_KO
L1A	29	13.88121547	-1.307541599	WT_Ctrl	Kdm4_KO
L1A	47	82.05659075	2.422780564	WT_Ctrl	Kdm4_KO
L1A	49	78.98751734	3.737063117	WT_Ctrl	Kdm4_KO
L1A	51	82.08537439	2.469081058	WT_Ctrl	Kdm4_KO
L1A	66	79.30313589	2.497061935	WT_Ctrl	Kdm4_KO
L1A	90	82.4099723	3.725720916	WT_Ctrl	Kdm4_KO
L1Gf	109	10.76998851	4.062210507	WT_Ctrl	Kdm4_KO
L1Gf	117	14.13856122	2.828263422	WT_Ctrl	Kdm4_KO
L1Gf	22	9.62962963	3.340295182	WT_Ctrl	Kdm4_KO
L1Gf	59	12.89845547	1.112340116	WT_Ctrl	Kdm4_KO
L1Gf	62	15.67336187	3.772387308	WT_Ctrl	Kdm4_KO
L1Gf	65	11.24133377	2.570430932	WT_Ctrl	Kdm4_KO
L1Gf	83	16.40394089	5.317851278	WT_Ctrl	Kdm4_KO
L1Gf	91	16.89122576	5.797652697	WT_Ctrl	Kdm4_KO
L1Gf	93	16.57622102	4.444235132	WT_Ctrl	Kdm4_KO
L1Tf	100	4.387568556	0.6541297	WT_Ctrl	Kdm4_KO
L1Tf	104	2.750389206	1.36748008	WT_Ctrl	Kdm4_KO
L1Tf	117	3.896103896	1.562576923	WT_Ctrl	Kdm4_KO
L1Tf	124	1.427088739	1.258236526	WT_Ctrl	Kdm4_KO
L1Tf	127	3.893070335	2.806399764	WT_Ctrl	Kdm4_KO
L1Tf	22	3.382390911	1.060380173	WT_Ctrl	Kdm4_KO
L1Tf	32	1.985559567	0.680606411	WT_Ctrl	Kdm4_KO
L1Tf	43	3.118556701	1.310872728	WT_Ctrl	Kdm4_KO
L1Tf	63	2.503259452	0.536254225	WT_Ctrl	Kdm4_KO
L1Tf	67	2.130423487	0.298419018	WT_Ctrl	Kdm4_KO
L1Tf	79	3.401713841	0.793297497	WT_Ctrl	Kdm4_KO
RLTR4_MM	113	81.9214876	2.710547029	WT_Ctrl	Kdm4_KO
RLTR4_MM	118	85.96491228	-2.324608922	WT_Ctrl	Kdm4_KO
RLTR4_MM	126	84.91735537	-0.301970757	WT_Ctrl	Kdm4_KO
RLTR4_MM	38	85.4188211	1.363410756	WT_Ctrl	Kdm4_KO
RLTR4_MM	41	92.36326109	-3.835122566	WT_Ctrl	Kdm4_KO
RLTR4_MM	43	90.29927761	-0.071264576	WT_Ctrl	Kdm4_KO
RLTR4_MM	54	90.69286453	0.856431245	WT_Ctrl	Kdm4_KO
RLTR4_MM	67	82.86893705	0.572621393	WT_Ctrl	Kdm4_KO
RLTR4_MM	71	83.90092879	2.354482463	WT_Ctrl	Kdm4_KO
RLTR4_MM	79	74.40660475	4.466634689	WT_Ctrl	Kdm4_KO
EtnI	102	37.01298701	12.98701299	VC	E14
EtnI	109	50.32258065	6.958972753	VC	E14
EtnI	142	47.36842105	10.05732152	VC	E14
EtnI	27	28.99408284	-1.574728002	VC	E14
EtnI	37	28.40236686	6.275052491	VC	E14
EtnI	56	20	NA	VC	E14
EtnI	68	27.81065089	10.89902653	VC	E14
EtnI	99	50.64935065	10.51569789	VC	E14
IAP1a_2	129	87.67123288	3.18590998	VC	E14
IAP1a_2	22	74.42922374	-4.542860108	VC	E14
IAP1a_2	31	86.30136986	-1.074097136	VC	E14
