Probe	Chromosome	Start	End	Probe Strand	H3K9me2_Untreated-unique	H3K9me2_VitC-unique
Random	1	644670	649669		0	0
Random	1	995552	1000551		0	0
Random	1	1003361	1008360		0	0
Random	1	1613403	1618402		0	0
Random	1	2527014	2532013		0	0
Random	1	2775113	2780112		0	0
Random	1	3846197	3851196		81	156
Random	1	4121180	4126179		83	73
Random	1	4761124	4766123		60	42
Random	1	5345759	5350758		84	162
Random	1	6025032	6030031		87	143
Random	1	6210135	6215134		16	22
Random	1	6277560	6282559		76	51
Random	1	6303491	6308490		59	49
Random	1	6552238	6557237		87	99
Random	1	7060584	7065583		46	97
Random	1	7093288	7098287		24	21
Random	1	8043905	8048904		42	90
Random	1	8245301	8250300		40	65
Random	1	9138687	9143686		75	58
Random	1	9703829	9708828		23	35
Random	1	12380953	12385952		94	93
Random	1	12856858	12861857		42	29
Random	1	13490141	13495140		52	38
Random	1	13700090	13705089		69	35
Random	1	13925401	13930400		83	53
Random	1	13971619	13976618		74	87
Random	1	14283570	14288569		39	35
Random	1	15444918	15449917		95	56
Random	1	17168659	17173658		85	48
Random	1	17740961	17745960		69	44
Random	1	19370831	19375830		31	49
Random	1	20258716	20263715		75	39
Random	1	20601262	20606261		96	67
Random	1	20663219	20668218		38	35
Random	1	21525513	21530512		83	55
Random	1	21707129	21712128		81	59
Random	1	22893419	22898418		85	73
Random	1	24637296	24642295		60	57
Random	1	25281310	25286309		51	54
Random	1	25737827	25742826		77	127
Random	1	26701023	26706022		86	122
Random	1	28911488	28916487		67	142
Random	1	29211647	29216646		73	80
Random	1	32031466	32036465		93	118
Random	1	32724466	32729465		93	76
Random	1	33378884	33383883		92	78
Random	1	33873798	33878797		26	32
Random	1	34883734	34888733		72	82
Random	1	35065245	35070244		87	95
Random	1	35071398	35076397		87	58
Random	1	35321451	35326450		100	103
Random	1	35481940	35486939		69	95
Random	1	35833399	35838398		40	32
Random	1	35990653	35995652		58	76
Random	1	38001696	38006695		23	27
Random	1	38348447	38353446		95	65
Random	1	38494401	38499400		44	25
Random	1	38662075	38667074		85	61
Random	1	38902074	38907073		46	32
Random	1	39005636	39010635		21	29
Random	1	39898020	39903019		12	15
Random	1	39934153	39939152		13	18
Random	1	40525458	40530457		90	74
Random	1	40787946	40792945		38	24
Random	1	41072545	41077544		62	153
Random	1	41368380	41373379		92	125
Random	1	41607551	41612550		95	73
Random	1	41859450	41864449		82	70
Random	1	42631786	42636785		67	50
Random	1	42647744	42652743		91	57
Random	1	43436457	43441456		73	57
Random	1	43540465	43545464		73	26
Random	1	45441212	45446211		35	32
Random	1	46690074	46695073		85	75
Random	1	46893917	46898916		40	29
Random	1	46914139	46919138		37	44
Random	1	47820409	47825408		62	54
Random	1	48427518	48432517		63	91
Random	1	48487828	48492827		97	116
Random	1	49403273	49408272		63	113
Random	1	49708866	49713865		77	132
Random	1	49842350	49847349		69	130
Random	1	50376561	50381560		63	63
Random	1	51287539	51292538		60	40
Random	1	51314183	51319182		118	87
Random	1	52121651	52126650		30	19
Random	1	52162170	52167169		53	41
Random	1	52251443	52256442		83	32
Random	1	52266314	52271313		21	33
Random	1	52583517	52588516		83	81
Random	1	52622356	52627355		60	103
Random	1	52978767	52983766		58	99
Random	1	53757231	53762230		44	32
Random	1	54676734	54681733		88	54
Random	1	55360040	55365039		28	48
Random	1	55370581	55375580		89	53
Random	1	55983230	55988229		95	57
Random	1	56373196	56378195		91	96
Random	1	56470594	56475593		82	76
Random	1	57274634	57279633		85	97
Random	1	57434354	57439353		46	25
Random	1	58676253	58681252		53	66
Random	1	59679564	59684563		38	38
Random	1	60522839	60527838		34	38
Random	1	61306803	61311802		81	59
Random	1	61371427	61376426		57	47
Random	1	62174871	62179870		69	31
Random	1	62696762	62701761		22	18
Random	1	63096974	63101973		24	29
