chr	start	end	strand	name	log2rpm	foldChange
chr1	182201712	182202086	+	ETnERV3-int:ERVK:LTR	-1.43514084875123	4.28100145797861
chr1	182202080	182206759	+	ETnERV3-int:ERVK:LTR	2.43478433947247	2.94845646869046
chr1	182206788	182208382	+	ETnERV3-int:ERVK:LTR	-0.432855350138653	3.41006755362079
chr12	87636877	87639463	+	ETnERV3-int:ERVK:LTR	-1.59840393057869	2.10368520966979
chr12	87834596	87837182	+	ETnERV3-int:ERVK:LTR	-1.58505797872493	2.10368520966979
chr12	88100095	88101997	+	ETnERV3-int:ERVK:LTR	-0.462913326735881	3.21171647542259
chr16	14678721	14680298	-	ETnERV3-int:ERVK:LTR	-1.97961896402715	2.95019498335834
chr16	14680327	14684840	-	ETnERV3-int:ERVK:LTR	-0.212292091268759	3.47838690682076
chr1	7882209	7883785	-	ETnERV3-int:ERVK:LTR	0.476711337559385	2.33082714685899
chr1	7883810	7887165	-	ETnERV3-int:ERVK:LTR	1.48505018497414	2.44272450897584
chr1	7888870	7889689	-	RLTR13B2:ERVK:LTR	-1.97710268646243	2.12839834381049
chr6	37691263	37692083	-	RLTR13B2:ERVK:LTR	-0.870205030270783	2.92984319193675
chr6	64653382	64654197	-	RLTR13B2:ERVK:LTR	0.266206340819776	2.94270901272903
chr6	64654210	64655787	-	ETnERV3-int:ERVK:LTR	1.92517693350802	2.55022642499554
chr6	64655820	64660276	-	ETnERV3-int:ERVK:LTR	3.46382682380211	3.07462322960971
chr6	64660278	64660455	-	ETnERV3-int:ERVK:LTR	-0.623440506431621	2.41706107910335
chr6	64660449	64660823	-	ETnERV3-int:ERVK:LTR	0.842248132285814	2.5802039226059
chr6	64660823	64661642	-	RLTR13B2:ERVK:LTR	-1.10809856476797	2.53610554534555
chrX	55617614	55622298	-	ETnERV3-int:ERVK:LTR	-1.60560063632169	3.12164780304865
chrY	12115042	12116624	-	ETnERV3-int:ERVK:LTR	-1.25123977110523	2.94189306330278
chrY	16827020	16828604	-	ETnERV3-int:ERVK:LTR	-1.38235458014047	2.59225357254214
chr1	182200893	182201712	+	RLTR13B2:ERVK:LTR	-1.5843226071881	2.63603829197001
