Probe	Chromosome	Start	End	Probe Strand	H3K9me2_Untreated-unique	H3K9me2_VitC-unique	input_DNA_Untreated-unique	input_DNA_VitC-unique
L1Md_A	1	3037726	3043047	+	0.362800628	0.864219308	0.163017616	0.283108175
L1Md_A	1	3237885	3243817	-	2.267503977	3.010828495	1.27697134	1.500473261
L1Md_T	1	3344646	3350967	+	0.816301405	0.724829078	0.353204817	0.283108175
L1Md_T	1	3846871	3852833	-	2.509371042	4.990169525	1.738854527	2.123311281
L1Md_A	1	4079255	4085812	-	0.423267394	0.864219308	0.407544017	0.198175713
L1Md_T	1	4187678	4192866	+	1.753536344	3.094462633	1.086784124	1.245675921
L1Md_T	1	4559597	4566001	+	0.06046677	0.055756085	0.027169602	0
L1Md_T	1	5034732	5040935	-	1.572136045	1.784194708	1.086784124	1.104121804
L1Md_T	1	5189143	5194724	+	0.755834639	1.421780109	0.624900818	0.707770407
L1Md_T	1	5266738	5273059	-	0.423267394	0.641194999	0.108678408	0.31141898
L1Md_T	1	5350393	5356254	+	0.181400314	0.418170631	0.163017616	0.113243267
L1Md_T	1	5423429	5428578	+	2.20703721	4.293218613	1.548667312	1.528784156
L1Md_A	1	5429836	5435642	+	1.995403409	3.373243093	1.141123295	0.962567747
L1Md_A	1	5819993	5825598	+	1.027935147	2.453267813	0.733579278	0.537905514
L1Md_T	1	5993095	5998361	+	1.541902661	2.341755629	0.869427264	0.905946136
L1Md_T	1	6144991	6151219	-	1.541902661	1.97934103	1.27697134	1.302297592
L1Md_A	1	6917008	6922398	+	0.695367873	1.031487584	0.679240048	0.396351427
L1Md_T	1	7190467	7195816	+	0	0	0	0
L1Md_T	1	7281634	7288057	-	1.269802213	2.815682173	1.16829288	1.217365146
L1Md_T	1	7328681	7335740	-	0.030233385	0.195146292	0.108678408	0.084932446
L1Md_A	1	7482158	7488613	-	2.539604425	3.652023554	1.412819266	1.415540814
L1Md_T	1	7843439	7848822	+	0.786068022	1.087243676	0.489052832	0.56621635
L1Md_A	1	8212467	8219050	-	0.151166931	0.501804769	0.163017616	0.113243267
L1Md_T	1	8517900	8523536	+	2.116337061	3.373243093	1.548667312	1.500473261
L1Md_T	1	8635008	8641386	-	0.907001555	1.366024017	0.706409633	1.302297592
L1Md_A	1	8688263	8694262	+	0.302333862	0.446048677	0.081508808	0.169864893
L1Md_A	1	9044844	9051194	-	0.272100478	0.334536493	0.108678408	0.084932446
L1Md_T	1	9058155	9063553	+	0.151166931	0.223024338	0.217356816	0.141554087
L1Md_A	1	9175399	9180979	+	0.24186708	0.278780431	0.217356816	0.198175713
L1Md_T	1	9240514	9246145	+	0.272100478	0.557560861	0.407544017	0.368040621
L1Md_A	1	9482922	9488091	+	2.327970743	4.488364697	2.146398544	2.491351843
L1Md_T	1	10382607	10388112	+	1.874469876	3.428999186	1.304140925	1.273986697
L1Md_A	1	10422138	10427929	-	2.237270594	2.536901951	1.16829288	1.670338154
L1Md_A	1	10786852	10793003	-	1.572136045	2.453267813	1.331310511	1.443851709
L1Md_T	1	10882284	10887768	-	1.662836194	2.899316311	1.494328141	1.783581495
L1Md_Gf	1	10970655	10975951	+	0.272100478	0.446048677	0.135848016	0.084932446
L1Md_A	1	11673969	11679358	+	0.181400314	0.334536493	0.244526416	0.084932446
L1Md_T	1	11714406	11720712	-	0.423267394	0.529682815	0.163017616	0.198175713
L1Md_A	1	11723250	11729852	-	0.151166931	0.278780431	0.081508808	0.084932446
L1Md_T	1	11776815	11783770	-	0.453500777	0.278780431	0.190187216	0.254797339
L1Md_A	1	11805332	11810613	+	1.934936643	3.094462633	1.222632051	1.245675921
L1Md_A	1	11853704	11858861	+	1.481435895	3.317487001	1.141123295	1.019189358
L1Md_T	1	12662852	12668535	-	0.57443434	1.449658155	0.597731233	0.849324524
L1Md_T	1	13730905	13737328	-	0.030233385	0.027878042	0.027169602	0.084932446
L1Md_T	1	13891061	13897392	-	0.695367873	1.226633906	0.298865616	0.537905514
L1Md_T	1	14084869	14090721	+	0.272100478	0.195146292	0.190187216	0.056621633
L1Md_T	1	14113239	14119084	+	0.151166931	0.362414539	0.108678408	0.141554087
L1Md_T	1	14476212	14482475	-	0.302333862	0.585438907	0.353204817	0.254797339
L1Md_T	1	14969312	14974715	-	0.755834639	1.003609538	0.298865616	0.31141898
L1Md_A	1	14988591	14994955	-	1.572136045	2.174487352	1.467158556	1.415540814
L1Md_A	1	15020299	15025491	+	0.423267394	0.892097354	0.190187216	0.509594679
L1Md_T	1	15083507	15089380	+	0.12093354	0.055756085	0.081508808	0.084932446
L1Md_T	1	15257902	15264360	-	0.030233385	0.027878042	0	0
L1Md_T	1	15491464	15497695	-	0.302333862	0.78058517	0.244526416	0.141554087
L1Md_A	1	15736582	15743579	-	0.090700157	0.083634123	0.027169602	0.028310817
L1Md_T	1	15928133	15933542	-	0.06046677	0.250902385	0.081508808	0.056621633
L1Md_A	1	15950058	15956238	-	0.846534789	1.226633906	0.461883247	0.509594679
L1Md_T	1	16163691	16170027	-	1.662836194	2.062975168	0.815088034	1.047500253
L1Md_T	1	16947035	16953916	-	0.393034011	0.78058517	0.190187216	0.198175713
L1Md_T	1	17288554	17294384	-	0.211633697	0.390292585	0.135848016	0.141554087
L1Md_A	1	17328915	17335070	-	0.876768172	1.142999768	0.298865616	0.481283873
L1Md_T	1	17383283	17390159	-	0.211633697	0.250902385	0.135848016	0.198175713
L1Md_T	1	17466854	17472493	+	0.151166931	0.529682815	0.163017616	0.056621633
L1Md_A	1	17473538	17478944	+	0.937234938	2.090853214	0.706409633	0.849324524
L1Md_T	1	17679849	17686199	-	1.23956883	2.509023905	0.923766494	1.953446388
L1Md_A	1	17698945	17705527	-	0.24186708	0.250902385	0.054339204	0.084932446
L1Md_T	1	17897629	17904101	-	0.786068022	1.310268044	0.461883247	0.339729786
L1Md_T	1	17916130	17922587	-	0.090700157	0.139390215	0.054339204	0.084932446
L1Md_Gf	1	18077953	18084249	+	1.783769727	3.150218725	1.521497726	1.358919144
L1Md_T	1	18472708	18478219	+	0.211633697	0.585438907	0.190187216	0.198175713
L1Md_T	1	18537027	18543535	+	0.24186708	0.278780431	0.190187216	0.169864893
L1Md_T	1	18658620	18664271	+	1.904703259	2.564779997	1.005275249	1.330608368
L1Md_T	1	18872424	18877658	+	0.544200957	1.031487584	0.271696031	0.169864893
L1Md_A	1	18927575	18932785	+	0.57443434	0.9199754	0.271696031	0.283108175
L1Md_A	1	19125733	19132274	-	0.12093354	0.223024338	0.108678408	0.028310817
L1Md_T	1	19372290	19377716	+	0.453500777	0.613316953	0.163017616	0.368040621
L1Md_T	1	19398790	19404030	+	0.57443434	1.087243676	0.489052832	0.452973068
L1Md_A	1	19434725	19440905	-	2.055870295	2.927194357	1.249801636	0.990878582
L1Md_T	1	19443832	19450262	-	1.632602811	3.428999186	1.358480096	1.415540814
L1Md_A	1	19687174	19693551	-	0.090700157	0.362414539	0.054339204	0
L1Md_A	1	19838880	19844707	+	1.088401914	1.867828846	0.516222417	0.509594679
L1Md_A	1	20096304	20102498	-	3.023338556	4.822901249	1.956211329	2.01006794
L1Md_T	1	20228997	20235098	-	2.630304575	2.843560219	1.467158556	1.726959825
L1Md_T	1	20277947	20284795	-	0.12093354	0.195146292	0.054339204	0.084932446
L1Md_A	1	20315363	20321668	-	0.786068022	0.947853446	0.679240048	0.481283873
L1Md_T	1	20432213	20438499	+	0.302333862	0.557560861	0.298865616	0.283108175
L1Md_A	1	20486393	20492595	+	0.423267394	0.473926723	0.298865616	0.283108175
L1Md_T	1	20525565	20530745	+	2.29773736	2.397511721	1.16829288	1.528784156
L1Md_A	1	20574495	20580057	+	0.483734161	0.9199754	0.298865616	0.226486534
L1Md_T	1	20642390	20648531	-	2.116337061	2.285999537	1.05961442	1.358919144
L1Md_T	1	21195385	21202212	-	0.755834639	1.477536201	0.489052832	0.764392078
L1Md_A	1	22054512	22061536	-	1.481435895	1.533292294	0.679240048	0.764392078
L1Md_T	1	22092291	22097479	+	2.630304575	2.759926081	1.141123295	1.160743475
L1Md_A	1	22230820	22237017	-	1.662836194	2.536901951	1.27697134	0.962567747
L1Md_A	1	22867954	22874570	-	1.330268979	2.648414135	1.005275249	0.764392078
L1Md_A	1	22916214	22922581	-	0.483734161	0.892097354	0.353204817	0.254797339
L1Md_T	1	23295730	23301110	-	0.302333862	0.334536493	0.135848016	0.141554087
L1Md_A	1	23614340	23619511	+	2.539604425	3.930804014	1.820363283	1.217365146
L1Md_A	1	23663135	23668370	+	1.934936643	2.927194357	1.548667312	1.387230039
L1Md_A	1	23724243	23729445	+	1.72330296	3.568389416	1.630176067	1.273986697
L1Md_A	1	23885270	23890646	+	0.24186708	0.390292585	0.271696031	0.339729786
L1Md_T	1	24639746	24646186	-	1.541902661	2.341755629	0.978105664	0.962567747
L1Md_Gf	1	25119776	25125452	+	0.393034011	0.724829078	0.298865616	0.396351427
L1Md_T	1	25403224	25408443	+	2.841938257	3.317487001	1.005275249	1.189054251
L1Md_T	1	25520343	25526546	-	0	0.083634123	0.027169602	0.028310817
L1Md_T	1	25590833	25596260	+	0.06046677	0.195146292	0.163017616	0.056621633
L1Md_T	1	25662055	25668295	+	0.030233385	0.027878042	0	0.028310817
L1Md_T	1	25909773	25915713	+	0.937234938	1.477536201	0.326035231	0.368040621
L1Md_A	1	26440954	26447119	-	1.23956883	1.644804478	0.652070463	0.990878582
L1Md_A	1	26500000	26505296	-	2.448904276	4.906535625	1.358480096	1.7552706
L1Md_T	1	27159405	27165196	+	0.06046677	0.250902385	0.135848016	0.028310817
L1Md_A	1	27194015	27200015	+	0.332567245	0.9199754	0.298865616	0.339729786
L1Md_A	1	27270333	27276738	-	1.027935147	1.784194708	0.516222417	0.537905514
L1Md_T	1	27755094	27760319	+	0.151166931	0.223024338	0.027169602	0.056621633
L1Md_T	1	28186281	28192894	-	0.634901106	0.975731492	0.326035231	0.396351427
L1Md_T	1	28287584	28293849	+	0.302333862	0.501804769	0.135848016	0.396351427
L1Md_T	1	28302785	28307891	+	1.995403409	3.902925968	1.412819266	1.387230039
L1Md_T	1	28398920	28404167	+	1.420969129	2.704169989	0.652070463	0.792702854
L1Md_T	1	29332859	29338001	+	1.269802213	2.564779997	0.624900818	0.849324524
L1Md_A	1	29368224	29373823	+	0.453500777	1.310268044	0.298865616	0.56621635
L1Md_T	1	29406980	29413476	-	2.479137659	4.432608604	1.358480096	1.387230039
L1Md_A	1	29580218	29586610	-	1.14886868	1.56117034	0.489052832	0.481283873
L1Md_T	1	29703425	29708852	+	0.030233385	0.055756085	0.054339204	0
L1Md_T	1	29888964	29895327	-	1.088401914	1.812072754	0.815088034	0.651148796
L1Md_A	1	30036176	30043464	-	0.12093354	0.195146292	0.108678408	0.028310817
L1Md_T	1	30066742	30072426	+	0.090700157	0.390292585	0.135848016	0.056621633
L1Md_A	1	30159635	30165792	-	1.753536344	2.871438265	1.141123295	1.160743475
L1Md_A	1	30304420	30311378	-	0.816301405	1.031487584	0.461883247	0.537905514
L1Md_A	1	30333109	30338513	+	1.23956883	2.704169989	0.760748863	1.160743475
L1Md_A	1	30370788	30376814	+	0.755834639	1.142999768	0.244526416	0.226486534
L1Md_Gf	1	30542242	30547401	+	2.38843751	4.795023441	1.956211329	2.095000505
L1Md_T	1	30660608	30667036	-	0	0.027878042	0	0.028310817
L1Md_T	1	30730353	30735864	+	0.66513449	0.947853446	0.489052832	0.424662262
L1Md_T	1	30760531	30765911	+	0.997701705	1.393902063	0.760748863	0.651148796
L1Md_T	1	31075120	31080968	+	0.030233385	0	0	0.028310817
L1Md_T	1	31295116	31301338	-	2.479137659	3.624145508	1.575836897	1.245675921
L1Md_T	1	31410363	31416710	-	2.116337061	4.32109642	1.603006482	1.642027378
L1Md_A	1	31454496	31459647	+	2.630304575	4.850779533	1.222632051	1.245675921
L1Md_T	1	31486311	31492691	-	3.265205622	5.547730446	1.27697134	1.953446388
L1Md_T	1	31694818	31701487	-	0.393034011	0.306658477	0.190187216	0.198175713
L1Md_A	1	31814249	31820444	-	1.844236493	3.261730909	0.570561647	0.764392078
L1Md_Gf	1	32069194	32074586	-	0.725601256	0.892097354	0.298865616	0.424662262
L1Md_A	1	32372367	32378724	-	0.453500777	1.616926432	1.032444835	0.934256971
L1Md_A	1	32436321	32441843	+	1.23956883	2.174487352	0.597731233	0.792702854
L1Md_T	1	32665664	32671065	+	0	0.027878042	0	0
L1Md_A	1	32909967	32916181	-	2.448904276	4.125950336	1.684515357	1.670338154
L1Md_T	1	33013356	33020202	-	0.181400314	0.78058517	0.217356816	0.226486534
L1Md_A	1	33045964	33051399	+	0.211633697	0.529682815	0.190187216	0.056621633
L1Md_T	1	33227460	33233688	-	3.355905771	5.241072178	2.037720203	1.783581495
L1Md_A	1	33250641	33257081	-	0.725601256	2.062975168	0.842257679	0.424662262
L1Md_A	1	33299585	33305964	-	1.874469876	2.25812149	1.05961442	1.387230039
L1Md_T	1	33407421	33413874	+	0.030233385	0.195146292	0.108678408	0.056621633
L1Md_A	1	35408216	35414535	-	0.393034011	0.501804769	0.163017616	0.396351427
L1Md_T	1	36951188	36957466	-	0.12093354	0.362414539	0.163017616	0
L1Md_T	1	39721941	39728186	-	0.755834639	1.338145971	0.652070463	0.509594679
L1Md_T	1	40195115	40200607	+	0.151166931	0.111512169	0.027169602	0.056621633
L1Md_A	1	42137428	42142800	+	0.030233385	0.055756085	0.054339204	0
L1Md_T	1	42334669	42340033	+	0.362800628	0.250902385	0.054339204	0.226486534
L1Md_A	1	43226184	43231452	+	0.876768172	0.9199754	0.516222417	0.198175713
L1Md_A	1	43849185	43855264	-	0.211633697	0.250902385	0.135848016	0.084932446
L1Md_A	1	44245072	44250270	+	0.876768172	1.505414248	1.032444835	0.821013689
L1Md_A	1	44267172	44272352	+	1.965170026	4.571999073	1.467158556	1.557094932
L1Md_A	1	44279294	44285640	-	0.12093354	0.418170631	0.135848016	0.056621633
L1Md_T	1	44348549	44353894	+	1.330268979	2.285999537	0.842257679	0.849324524
L1Md_A	1	44368842	44375632	-	0.302333862	0.724829078	0.271696031	0.283108175
L1Md_T	1	44413275	44419248	-	1.390735745	2.11873126	0.461883247	0.792702854
L1Md_T	1	44480455	44486748	+	0.06046677	0.027878042	0	0.028310817
L1Md_A	1	44602097	44609254	-	0.151166931	0.223024338	0.027169602	0.113243267
L1Md_A	1	44692564	44698339	+	0.211633697	0.195146292	0.027169602	0.056621633
L1Md_T	1	44722388	44728851	-	0.66513449	1.087243676	0.353204817	0.283108175
L1Md_T	1	44959260	44965535	+	0	0.027878042	0	0
L1Md_A	1	45165423	45171251	+	0.634901106	1.115121722	0.380374432	0.283108175
L1Md_A	1	45199014	45206013	-	0.181400314	0.362414539	0.108678408	0.113243267
L1Md_T	1	45230961	45237200	-	0.302333862	0.334536493	0.190187216	0.254797339
L1Md_T	1	45654357	45659476	+	0.332567245	0.9199754	0.244526416	0.31141898
L1Md_T	1	46313350	46318733	+	1.753536344	3.289608955	1.27697134	1.047500253
L1Md_A	1	46345744	46351923	-	1.300035596	2.481145859	1.11395371	1.189054251
L1Md_T	1	46442974	46450058	-	0.06046677	0.083634123	0	0
L1Md_A	1	46562819	46568182	+	0.211633697	0.418170631	0.163017616	0.113243267
L1Md_T	1	46583361	46588593	+	0	0.139390215	0.081508808	0.028310817
L1Md_T	1	46701681	46708239	-	1.632602811	2.899316311	1.086784124	1.443851709
L1Md_A	1	46751442	46756640	+	1.632602811	2.425389767	1.331310511	1.273986697
L1Md_T	1	46951157	46957368	-	0.786068022	1.170877814	0.407544017	0.339729786
L1Md_T	1	46991303	46998106	-	0.332567245	0.752707124	0.271696031	0.254797339
L1Md_T	1	47080714	47086821	-	0.483734161	0.947853446	0.434713632	0.424662262
L1Md_T	1	47105827	47111272	+	0.302333862	0.975731492	0.190187216	0.339729786
L1Md_T	1	47143236	47149695	-	2.358204126	4.32109642	1.820363283	1.925135493
L1Md_T	1	47175146	47181612	-	1.05816853	2.509023905	1.086784124	1.189054251
L1Md_A	1	47244789	47250984	-	1.511669278	2.759926081	0.842257679	0.962567747
