Probe	Chromosome	Start	End	Probe Strand	H3K9me2_Untreated-unique	H3K9me2_VitC-unique	input_DNA_Untreated-unique	input_DNA_VitC-unique
L1Md_A_downstream	1	3043047	3048047	+	2.479137659	2.704169989	1.548667312	1.358919144
L1Md_A_downstream	1	3232885	3237885	-	2.509371042	3.094462633	1.793193698	1.783581495
L1Md_T_downstream	1	3350967	3355967	+	1.360502362	1.087243676	1.603006482	1.472162485
L1Md_T_downstream	1	3841871	3846871	-	2.237270594	2.815682173	1.738854527	1.302297592
L1Md_A_downstream	1	4074255	4079255	-	1.965170026	2.648414135	1.657345772	2.038378716
L1Md_T_downstream	1	4192866	4197866	+	2.781471491	2.035097122	1.820363283	1.726959825
L1Md_T_downstream	1	4566001	4571001	+	0.967468321	1.421780109	1.467158556	1.613716602
L1Md_T_downstream	1	5029732	5034732	-	1.844236493	0.864219308	2.309416056	2.208243608
L1Md_T_downstream	1	5194724	5199724	+	1.693069577	3.596267462	1.603006482	2.038378716
L1Md_T_downstream	1	5261738	5266738	-	1.904703259	2.090853214	2.499603271	1.642027378
L1Md_T_downstream	1	5356254	5361254	+	2.20703721	3.624145508	1.249801636	1.7552706
L1Md_T_downstream	1	5428578	5433578	+	2.176803827	4.404730797	1.385649681	1.415540814
L1Md_A_downstream	1	5435642	5440642	+	2.569837809	1.644804478	1.331310511	1.925135493
L1Md_A_downstream	1	5825598	5830598	+	1.693069577	3.456877232	1.548667312	1.642027378
L1Md_T_downstream	1	5998361	6003361	+	1.783769727	2.25812149	1.331310511	1.528784156
L1Md_T_downstream	1	6139991	6144991	-	1.14886868	0.947853446	1.929041743	1.245675921
L1Md_A_downstream	1	6922398	6927398	+	2.025636911	1.70056057	1.358480096	1.189054251
L1Md_T_downstream	1	7195816	7200816	+	1.783769727	1.421780109	1.603006482	1.925135493
L1Md_T_downstream	1	7276634	7281634	-	2.539604425	2.955072403	1.983380914	2.349797726
L1Md_T_downstream	1	7323681	7328681	-	2.055870295	1.784194708	1.901872158	2.038378716
L1Md_A_downstream	1	7477158	7482158	-	0.06046677	0.083634123	0.081508808	0.31141898
L1Md_T_downstream	1	7848822	7853822	+	2.176803827	4.04231596	1.222632051	1.557094932
L1Md_A_downstream	1	8207467	8212467	-	0.725601256	0.641194999	0.543392062	0.452973068
L1Md_T_downstream	1	8523536	8528536	+	2.418670893	3.428999186	1.304140925	1.868513942
L1Md_T_downstream	1	8630008	8635008	-	0	0	0	0
L1Md_A_downstream	1	8694262	8699262	+	1.420969129	1.142999768	0.733579278	0.962567747
L1Md_A_downstream	1	9039844	9044844	-	0.544200957	0.334536493	0.217356816	0.31141898
L1Md_T_downstream	1	9063553	9068553	+	1.874469876	1.644804478	1.603006482	1.670338154
L1Md_A_downstream	1	9180979	9185979	+	2.086103678	1.421780109	1.494328141	1.557094932
L1Md_T_downstream	1	9246145	9251145	+	1.572136045	1.644804478	1.630176067	1.415540814
L1Md_A_downstream	1	9488091	9493091	+	2.237270594	3.624145508	1.929041743	2.32148695
L1Md_T_downstream	1	10388112	10393112	+	1.965170026	4.404730797	2.010550499	1.698649049
L1Md_A_downstream	1	10417138	10422138	-	2.025636911	1.784194708	1.603006482	1.387230039
L1Md_A_downstream	1	10781852	10786852	-	2.176803827	1.56117034	2.635451317	2.236554623
L1Md_T_downstream	1	10877284	10882284	-	1.027935147	1.533292294	2.037720203	2.01006794
L1Md_Gf_downstream	1	10975951	10980951	+	0.151166931	0.250902385	0.163017616	0.198175713
L1Md_A_downstream	1	11679358	11684358	+	0.876768172	0.501804769	0.516222417	0.679459572
L1Md_T_downstream	1	11709406	11714406	-	1.934936643	2.341755629	1.358480096	1.132432699
L1Md_A_downstream	1	11718250	11723250	-	1.027935147	1.589048386	0.624900818	0.849324524
L1Md_T_downstream	1	11771815	11776815	-	2.448904276	1.784194708	2.146398544	1.642027378
L1Md_A_downstream	1	11810613	11815613	+	1.753536344	1.70056057	1.439988852	1.613716602
L1Md_A_downstream	1	11858861	11863861	+	1.844236493	3.624145508	1.929041743	1.472162485
L1Md_T_downstream	1	12657852	12662852	-	2.025636911	1.449658155	1.847532988	2.349797726
L1Md_T_downstream	1	13725905	13730905	-	2.509371042	3.95868206	1.901872158	2.06668973
L1Md_T_downstream	1	13886061	13891061	-	2.993105173	3.122340679	1.956211329	2.038378716
L1Md_T_downstream	1	14090721	14095721	+	1.330268979	1.031487584	0.978105664	0.792702854
L1Md_T_downstream	1	14119084	14124084	+	1.874469876	2.592658043	1.439988852	1.557094932
L1Md_T_downstream	1	14471212	14476212	-	1.783769727	1.115121722	2.092059374	2.06668973
L1Md_T_downstream	1	14964312	14969312	-	2.418670893	4.404730797	2.146398544	1.472162485
L1Md_A_downstream	1	14983591	14988591	-	1.662836194	1.366024017	1.820363283	1.840203047
L1Md_A_downstream	1	15025491	15030491	+	2.327970743	1.923584938	1.738854527	1.557094932
L1Md_T_downstream	1	15089380	15094380	+	2.20703721	2.369633675	1.711684942	1.358919144
L1Md_T_downstream	1	15252902	15257902	-	2.116337061	1.477536201	2.064889669	1.698649049
L1Md_T_downstream	1	15486464	15491464	-	2.751238108	1.867828846	1.874702573	2.179932833
L1Md_A_downstream	1	15731582	15736582	-	2.811704874	1.756316662	2.064889669	2.038378716
L1Md_T_downstream	1	15923133	15928133	-	1.995403409	1.254511952	2.390924931	1.811892271
L1Md_A_downstream	1	15945058	15950058	-	1.995403409	1.784194708	2.11922884	1.868513942
L1Md_T_downstream	1	16158691	16163691	-	1.390735745	1.142999768	1.874702573	2.179932833
L1Md_T_downstream	1	16942035	16947035	-	2.327970743	2.453267813	2.092059374	1.981757164
L1Md_T_downstream	1	17283554	17288554	-	1.330268979	1.19875586	1.575836897	1.528784156
L1Md_A_downstream	1	17323915	17328915	-	2.600071192	2.230243444	1.874702573	1.868513942
L1Md_T_downstream	1	17378283	17383283	-	1.390735745	1.310268044	1.847532988	1.726959825
L1Md_T_downstream	1	17472493	17477493	+	0.66513449	1.672682524	0.706409633	0.651148796
L1Md_A_downstream	1	17478944	17483944	+	1.693069577	1.115121722	1.603006482	1.500473261
L1Md_T_downstream	1	17674849	17679849	-	1.602369428	1.226633906	1.847532988	1.953446388
L1Md_A_downstream	1	17693945	17698945	-	1.390735745	1.644804478	1.684515357	1.104121804
L1Md_T_downstream	1	17892629	17897629	-	1.844236493	1.895706892	2.11922884	1.726959825
L1Md_T_downstream	1	17911130	17916130	-	2.025636911	1.644804478	1.521497726	1.670338154
L1Md_Gf_downstream	1	18084249	18089249	+	1.632602811	2.815682173	1.222632051	1.132432699
L1Md_T_downstream	1	18478219	18483219	+	1.05816853	1.170877814	1.086784124	0.56621635
L1Md_T_downstream	1	18543535	18548535	+	1.995403409	2.509023905	1.141123295	1.217365146
L1Md_T_downstream	1	18664271	18669271	+	1.844236493	1.784194708	1.738854527	1.387230039
L1Md_T_downstream	1	18877658	18882658	+	1.874469876	1.672682524	0.896596849	1.330608368
L1Md_A_downstream	1	18932785	18937785	+	1.572136045	1.505414248	1.304140925	1.217365146
L1Md_A_downstream	1	19120733	19125733	-	2.327970743	2.11873126	1.494328141	1.642027378
L1Md_T_downstream	1	19377716	19382716	+	2.176803827	2.536901951	1.141123295	1.358919144
L1Md_T_downstream	1	19404030	19409030	+	1.965170026	2.313877583	1.521497726	1.302297592
L1Md_A_downstream	1	19429725	19434725	-	2.116337061	2.843560219	1.249801636	1.811892271
L1Md_T_downstream	1	19438832	19443832	-	2.20703721	2.759926081	1.195462465	1.330608368
L1Md_A_downstream	1	19682174	19687174	-	2.358204126	3.512633324	1.603006482	1.415540814
L1Md_A_downstream	1	19844707	19849707	+	2.086103678	3.261730909	1.467158556	1.387230039
L1Md_A_downstream	1	20091304	20096304	-	3.144272089	5.101681709	1.711684942	1.726959825
L1Md_T_downstream	1	20223997	20228997	-	2.327970743	1.421780109	1.820363283	1.472162485
L1Md_T_downstream	1	20272947	20277947	-	2.630304575	1.812072754	1.793193698	2.434730291
L1Md_A_downstream	1	20310363	20315363	-	0.907001555	0.641194999	1.820363283	1.387230039
L1Md_T_downstream	1	20438499	20443499	+	2.20703721	3.205974817	1.11395371	1.245675921
L1Md_A_downstream	1	20492595	20497595	+	2.358204126	1.616926432	1.738854527	1.981757164
L1Md_T_downstream	1	20530745	20535745	+	2.146570444	1.366024017	1.983380914	1.896824718
L1Md_A_downstream	1	20580057	20585057	+	2.418670893	2.202365398	1.738854527	1.415540814
L1Md_T_downstream	1	20637390	20642390	-	1.693069577	1.616926432	1.27697134	0.849324524
L1Md_T_downstream	1	21190385	21195385	-	2.479137659	2.007219076	2.227907419	2.038378716
L1Md_A_downstream	1	22049512	22054512	-	2.146570444	2.035097122	2.064889669	2.123311281
L1Md_T_downstream	1	22097479	22102479	+	1.783769727	1.477536201	1.548667312	1.726959825
L1Md_A_downstream	1	22225820	22230820	-	2.630304575	1.366024017	2.037720203	1.953446388
L1Md_A_downstream	1	22862954	22867954	-	3.234972239	3.456877232	2.146398544	2.095000505
L1Md_A_downstream	1	22911214	22916214	-	2.660537958	3.456877232	1.983380914	1.811892271
L1Md_T_downstream	1	23290730	23295730	-	0.846534789	0.585438907	1.711684942	1.953446388
L1Md_A_downstream	1	23619511	23624511	+	2.87217164	4.627755165	2.010550499	1.387230039
L1Md_A_downstream	1	23668370	23673370	+	2.20703721	1.672682524	1.575836897	1.840203047
L1Md_A_downstream	1	23729445	23734445	+	2.327970743	2.007219076	2.255076885	1.670338154
L1Md_A_downstream	1	23890646	23895646	+	0.997701705	0.557560861	1.467158556	1.557094932
L1Md_T_downstream	1	24634746	24639746	-	1.934936643	1.449658155	1.711684942	2.123311281
L1Md_Gf_downstream	1	25125452	25130452	+	1.511669278	1.951462984	1.521497726	1.642027378
L1Md_T_downstream	1	25408443	25413443	+	2.781471491	3.596267462	1.684515357	1.217365146
L1Md_T_downstream	1	25515343	25520343	-	1.390735745	1.003609538	1.766024113	1.557094932
L1Md_T_downstream	1	25596260	25601260	+	2.20703721	1.19875586	1.222632051	1.273986697
L1Md_T_downstream	1	25668295	25673295	+	1.330268979	1.70056057	1.331310511	0.707770407
L1Md_T_downstream	1	25915713	25920713	+	0.513967574	0.557560861	0.407544017	0.764392078
L1Md_A_downstream	1	26435954	26440954	-	0.725601256	0.473926723	0.543392062	0.424662262
L1Md_A_downstream	1	26495000	26500000	-	2.600071192	3.930804014	1.467158556	1.585405707
L1Md_T_downstream	1	27165196	27170196	+	1.360502362	2.955072403	0.733579278	1.273986697
L1Md_A_downstream	1	27200015	27205015	+	2.690771341	3.652023554	1.684515357	1.443851709
L1Md_A_downstream	1	27265333	27270333	-	1.23956883	1.728438616	1.439988852	1.132432699
L1Md_T_downstream	1	27760319	27765319	+	1.934936643	3.512633324	1.005275249	1.245675921
L1Md_T_downstream	1	28181281	28186281	-	1.451202512	2.704169989	1.27697134	1.273986697
L1Md_T_downstream	1	28293849	28298849	+	1.572136045	2.425389767	1.358480096	1.443851709
L1Md_T_downstream	1	28307891	28312891	+	2.086103678	3.456877232	1.603006482	1.387230039
L1Md_T_downstream	1	28404167	28409167	+	1.602369428	2.341755629	1.16829288	1.443851709
L1Md_T_downstream	1	29338001	29343001	+	1.783769727	2.202365398	1.412819266	1.500473261
L1Md_A_downstream	1	29373823	29378823	+	1.541902661	3.010828495	1.16829288	1.415540814
L1Md_T_downstream	1	29401980	29406980	-	1.420969129	2.815682173	1.16829288	1.528784156
L1Md_A_downstream	1	29575218	29580218	-	2.479137659	2.453267813	1.820363283	1.472162485
L1Md_T_downstream	1	29708852	29713852	+	1.572136045	2.425389767	1.385649681	1.189054251
L1Md_T_downstream	1	29883964	29888964	-	2.146570444	2.11873126	1.358480096	1.585405707
L1Md_A_downstream	1	30031176	30036176	-	2.509371042	3.317487001	1.603006482	1.925135493
L1Md_T_downstream	1	30072426	30077426	+	1.965170026	2.648414135	1.358480096	1.613716602
L1Md_A_downstream	1	30154635	30159635	-	2.448904276	2.592658043	2.064889669	1.670338154
L1Md_A_downstream	1	30299420	30304420	-	2.781471491	3.178096771	1.494328141	2.349797726
L1Md_A_downstream	1	30338513	30343513	+	1.72330296	1.728438616	0.950936079	1.642027378
L1Md_A_downstream	1	30376814	30381814	+	1.965170026	2.732048035	1.467158556	1.415540814
L1Md_Gf_downstream	1	30547401	30552401	+	1.209335446	1.031487584	2.037720203	2.095000505
L1Md_T_downstream	1	30655608	30660608	-	2.841938257	2.11873126	2.472433805	1.981757164
L1Md_T_downstream	1	30735864	30740864	+	1.511669278	0.641194999	1.793193698	1.443851709
L1Md_T_downstream	1	30765911	30770911	+	1.693069577	1.505414248	1.711684942	1.698649049
L1Md_T_downstream	1	31080968	31085968	+	2.146570444	1.19875586	1.467158556	1.415540814
L1Md_T_downstream	1	31290116	31295116	-	2.781471491	3.484755278	1.684515357	1.783581495
L1Md_T_downstream	1	31405363	31410363	-	2.418670893	2.536901951	1.983380914	1.642027378
L1Md_A_downstream	1	31459647	31464647	+	2.29773736	3.6799016	1.766024113	1.557094932
L1Md_T_downstream	1	31481311	31486311	-	2.509371042	2.927194357	1.820363283	2.01006794
L1Md_T_downstream	1	31689818	31694818	-	2.509371042	2.25812149	1.820363283	1.670338154
L1Md_A_downstream	1	31809249	31814249	-	2.146570444	3.95868206	1.575836897	1.585405707
L1Md_Gf_downstream	1	32064194	32069194	-	0.725601256	1.170877814	0.244526416	0.651148796
L1Md_A_downstream	1	32367367	32372367	-	2.38843751	3.205974817	1.630176067	1.613716602
L1Md_A_downstream	1	32441843	32446843	+	2.327970743	1.756316662	1.766024113	1.557094932
L1Md_T_downstream	1	32671065	32676065	+	1.81400311	2.230243444	1.304140925	1.302297592
L1Md_A_downstream	1	32904967	32909967	-	2.176803827	3.122340679	1.385649681	2.236554623
L1Md_T_downstream	1	33008356	33013356	-	2.539604425	2.871438265	1.630176067	1.7552706
L1Md_A_downstream	1	33051399	33056399	+	1.934936643	1.97934103	1.439988852	1.500473261
L1Md_T_downstream	1	33222460	33227460	-	3.446605921	2.759926081	2.11922884	1.811892271
L1Md_A_downstream	1	33245641	33250641	-	2.87217164	1.589048386	1.983380914	1.7552706
L1Md_A_downstream	1	33294585	33299585	-	1.451202512	1.812072754	2.390924931	1.868513942
L1Md_T_downstream	1	33413874	33418874	+	2.660537958	3.205974817	1.766024113	1.783581495
L1Md_A_downstream	1	35403216	35408216	-	2.055870295	1.421780109	1.738854527	1.783581495
L1Md_T_downstream	1	36946188	36951188	-	1.088401914	1.477536201	2.28224659	1.896824718
L1Md_T_downstream	1	39716941	39721941	-	0.755834639	1.226633906	1.793193698	2.293176174
L1Md_T_downstream	1	40200607	40205607	+	2.055870295	1.505414248	1.358480096	1.019189358
L1Md_A_downstream	1	42142800	42147800	+	1.904703259	1.756316662	1.467158556	1.528784156
L1Md_T_downstream	1	42340033	42345033	+	2.116337061	1.97934103	1.385649681	1.528784156
L1Md_A_downstream	1	43231452	43236452	+	2.20703721	1.366024017	1.874702573	1.472162485
L1Md_A_downstream	1	43844185	43849185	-	1.602369428	0.9199754	1.575836897	1.670338154
L1Md_A_downstream	1	44250270	44255270	+	2.751238108	2.035097122	1.657345772	1.613716602
L1Md_A_downstream	1	44272352	44277352	+	1.965170026	2.11873126	1.05961442	1.160743475
L1Md_A_downstream	1	44274294	44279294	-	2.660537958	2.704169989	1.738854527	1.670338154
L1Md_T_downstream	1	44353894	44358894	+	1.995403409	3.847169876	1.412819266	1.670338154
L1Md_A_downstream	1	44363842	44368842	-	2.176803827	3.54051137	1.222632051	1.330608368
L1Md_T_downstream	1	44408275	44413275	-	2.20703721	1.895706892	1.766024113	2.01006794
L1Md_T_downstream	1	44486748	44491748	+	0.06046677	0.027878042	0.054339204	0.028310817
L1Md_A_downstream	1	44597097	44602097	-	1.693069577	0.9199754	1.983380914	2.01006794
L1Md_A_downstream	1	44698339	44703339	+	1.451202512	0.836341262	1.603006482	1.528784156
L1Md_T_downstream	1	44717388	44722388	-	1.572136045	1.366024017	1.793193698	1.698649049
L1Md_T_downstream	1	44965535	44970535	+	1.844236493	2.453267813	1.630176067	1.189054251
L1Md_A_downstream	1	45171251	45176251	+	1.844236493	2.955072403	1.249801636	1.217365146
L1Md_A_downstream	1	45194014	45199014	-	1.72330296	3.289608955	1.738854527	1.415540814
L1Md_T_downstream	1	45225961	45230961	-	2.569837809	3.094462633	1.820363283	1.528784156
L1Md_T_downstream	1	45659476	45664476	+	2.055870295	2.564779997	1.032444835	1.472162485
L1Md_T_downstream	1	46318733	46323733	+	2.38843751	2.369633675	1.412819266	1.726959825
L1Md_A_downstream	1	46340744	46345744	-	1.72330296	3.094462633	1.358480096	2.01006794
L1Md_T_downstream	1	46437974	46442974	-	2.751238108	1.923584938	1.548667312	1.557094932
L1Md_A_downstream	1	46568182	46573182	+	1.511669278	1.812072754	1.711684942	1.642027378
L1Md_T_downstream	1	46588593	46593593	+	1.81400311	1.589048386	1.11395371	1.500473261
L1Md_T_downstream	1	46696681	46701681	-	1.72330296	1.728438616	1.684515357	1.557094932
L1Md_A_downstream	1	46756640	46761640	+	1.934936643	1.97934103	1.684515357	2.095000505
L1Md_T_downstream	1	46946157	46951157	-	2.630304575	3.54051137	1.684515357	1.868513942
L1Md_T_downstream	1	46986303	46991303	-	2.87217164	3.261730909	1.766024113	1.783581495
L1Md_T_downstream	1	47075714	47080714	-	2.116337061	2.397511721	2.11922884	1.783581495
L1Md_T_downstream	1	47111272	47116272	+	1.995403409	2.035097122	0.815088034	1.019189358
L1Md_T_downstream	1	47138236	47143236	-	2.539604425	2.174487352	1.684515357	1.840203047
L1Md_T_downstream	1	47170146	47175146	-	1.81400311	2.11873126	1.385649681	1.528784156
L1Md_A_downstream	1	47239789	47244789	-	2.29773736	3.345365047	0.896596849	1.273986697
L1Md_T_downstream	1	47513343	47518343	-	1.81400311	2.341755629	1.358480096	1.387230039
L1Md_T_downstream	1	47592925	47597925	+	1.72330296	1.867828846	1.16829288	1.132432699
L1Md_T_downstream	1	47635458	47640458	+	1.05816853	1.115121722	0.706409633	0.736081243
L1Md_A_downstream	1	47670282	47675282	-	2.237270594	2.648414135	1.603006482	1.642027378
L1Md_T_downstream	1	47709837	47714837	-	2.811704874	3.038706541	1.467158556	1.330608368
L1Md_A_downstream	1	47757763	47762763	+	1.934936643	2.982950449	1.195462465	1.500473261
L1Md_T_downstream	1	48220211	48225211	-	3.023338556	3.345365047	1.521497726	1.047500253
L1Md_T_downstream	1	48358311	48363311	-	0	0.083634123	0.135848016	0.141554087
L1Md_A_downstream	1	48412800	48417800	-	1.572136045	3.233852863	1.195462465	1.273986697
L1Md_A_downstream	1	48500000	48505000	+	2.569837809	3.205974817	1.385649681	1.613716602
L1Md_T_downstream	1	48552244	48557244	+	2.025636911	2.787804127	1.575836897	1.245675921
L1Md_T_downstream	1	48684308	48689308	-	2.358204126	3.652023554	1.575836897	0.905946136
L1Md_T_downstream	1	48704098	48709098	-	1.602369428	1.616926432	1.439988852	1.642027378
L1Md_T_downstream	1	48820429	48825429	+	2.87217164	4.822901249	1.684515357	1.245675921
L1Md_T_downstream	1	48827917	48832917	+	2.721004725	4.070194244	1.439988852	1.472162485
L1Md_T_downstream	1	48916814	48921814	-	2.20703721	2.815682173	1.630176067	1.670338154
L1Md_T_downstream	1	49599853	49604853	-	1.965170026	2.481145859	1.195462465	1.585405707
L1Md_T_downstream	1	50117450	50122450	-	1.481435895	2.25812149	1.603006482	1.585405707
L1Md_A_downstream	1	50218398	50223398	+	1.783769727	1.589048386	1.304140925	1.472162485
L1Md_T_downstream	1	50335398	50340398	+	1.81400311	2.397511721	1.521497726	1.415540814
L1Md_T_downstream	1	50410162	50415162	-	2.237270594	2.843560219	1.793193698	1.783581495
L1Md_A_downstream	1	50870729	50875729	-	2.569837809	2.090853214	1.575836897	1.840203047
L1Md_A_downstream	1	51246778	51251778	-	2.448904276	1.366024017	1.738854527	2.038378716
L1Md_Gf_downstream	1	51438958	51443958	+	2.660537958	2.564779997	1.575836897	1.528784156
L1Md_T_downstream	1	51706240	51711240	-	1.753536344	1.616926432	2.255076885	2.01006794
L1Md_T_downstream	1	52405877	52410877	+	2.841938257	3.624145508	1.684515357	1.585405707
L1Md_A_downstream	1	52882732	52887732	-	2.38843751	1.449658155	1.874702573	2.06668973
L1Md_T_downstream	1	52945396	52950396	+	0.816301405	1.282389998	1.766024113	2.01006794
L1Md_T_downstream	1	52971156	52976156	-	1.179102063	1.115121722	1.874702573	1.953446388
L1Md_T_downstream	1	53960562	53965562	+	2.448904276	1.366024017	1.521497726	1.585405707
L1Md_T_downstream	1	54031419	54036419	+	1.330268979	0.975731492	1.603006482	1.811892271
L1Md_A_downstream	1	54271036	54276036	+	1.874469876	1.254511952	1.521497726	1.302297592
L1Md_T_downstream	1	54392707	54397707	+	1.572136045	1.19875586	1.494328141	1.613716602
L1Md_T_downstream	1	55471282	55476282	-	1.874469876	2.090853214	1.929041743	1.896824718
L1Md_A_downstream	1	55778361	55783361	+	0.211633697	0.724829078	0.244526416	0.226486534
L1Md_T_downstream	1	56087361	56092361	-	2.600071192	2.146609306	1.820363283	2.038378716
L1Md_A_downstream	1	56142402	56147402	+	2.025636911	2.174487352	1.385649681	1.415540814
L1Md_T_downstream	1	56385760	56390760	+	1.844236493	1.56117034	1.521497726	1.585405707
L1Md_T_downstream	1	56453631	56458631	-	2.20703721	1.56117034	1.385649681	1.925135493
L1Md_T_downstream	1	56720186	56725186	+	2.055870295	1.895706892	1.711684942	1.557094932
L1Md_T_downstream	1	57059297	57064297	-	2.600071192	2.230243444	1.983380914	1.585405707
L1Md_A_downstream	1	60325693	60330693	+	1.088401914	0.975731492	1.603006482	1.217365146
L1Md_A_downstream	1	60693029	60698029	+	1.81400311	1.616926432	1.847532988	1.7552706
L1Md_A_downstream	1	61214930	61219930	+	2.479137659	1.867828846	1.385649681	1.783581495
L1Md_A_downstream	1	61357213	61362213	-	1.300035596	0.975731492	1.575836897	1.670338154
L1Md_T_downstream	1	61486786	61491786	-	2.96287179	2.648414135	1.575836897	1.557094932
L1Md_T_downstream	1	61520356	61525356	+	0.090700157	0.278780431	0.326035231	0.31141898
L1Md_A_downstream	1	61676317	61681317	+	1.81400311	1.142999768	1.16829288	1.104121804
L1Md_T_downstream	1	62094941	62099941	-	2.993105173	1.812072754	2.010550499	1.726959825
L1Md_T_downstream	1	62225408	62230408	+	2.690771341	1.97934103	1.684515357	1.472162485
L1Md_T_downstream	1	62301312	62306312	+	1.783769727	1.728438616	1.494328141	1.189054251
L1Md_T_downstream	1	62666355	62671355	-	1.693069577	1.505414248	2.363755465	2.378108501
L1Md_T_downstream	1	62859966	62864966	-	2.660537958	2.536901951	2.28224659	2.06668973
L1Md_T_downstream	1	63792726	63797726	-	2.96287179	1.895706892	1.901872158	1.698649049
L1Md_A_downstream	1	63824969	63829969	-	3.204738855	3.038706541	2.309416056	2.123311281
L1Md_A_downstream	1	63864530	63869530	+	1.81400311	0.975731492	1.929041743	1.925135493
L1Md_T_downstream	1	63892300	63897300	+	2.539604425	1.505414248	2.037720203	1.7552706
L1Md_A_downstream	1	65406917	65411917	-	2.630304575	3.930804014	2.200737715	1.953446388
L1Md_T_downstream	1	65418855	65423855	-	2.690771341	2.062975168	1.385649681	1.925135493
L1Md_A_downstream	1	65754213	65759213	+	2.539604425	2.146609306	1.630176067	1.698649049
L1Md_T_downstream	1	65968450	65973450	-	3.204738855	3.010828495	1.521497726	2.264865398
L1Md_T_downstream	1	66042116	66047116	+	2.539604425	2.481145859	1.657345772	1.500473261
L1Md_A_downstream	1	66053695	66058695	+	1.662836194	1.589048386	1.16829288	1.273986697
L1Md_T_downstream	1	66266073	66271073	-	1.904703259	1.728438616	1.222632051	1.472162485
L1Md_A_downstream	1	66510027	66515027	-	2.237270594	1.505414248	1.385649681	1.528784156
L1Md_A_downstream	1	66570426	66575426	-	2.086103678	2.815682173	1.439988852	1.557094932
L1Md_A_downstream	1	67282311	67287311	+	2.38843751	2.146609306	1.630176067	1.415540814
L1Md_A_downstream	1	67531670	67536670	-	2.29773736	3.261730909	1.711684942	1.868513942
L1Md_A_downstream	1	67592588	67597588	+	1.390735745	1.8399508	1.086784124	0.934256971
L1Md_T_downstream	1	67614666	67619666	-	2.176803827	1.951462984	1.467158556	1.387230039
L1Md_A_downstream	1	67677584	67682584	-	2.539604425	2.174487352	1.766024113	1.500473261
L1Md_A_downstream	1	68273469	68278469	+	1.360502362	1.19875586	1.05961442	1.443851709
